MLSNumber,Address,Category,StreetNumber,StreetName,UnitNumber,CrossStreet,FloorNumber,City,State,Zip Code,County,MLSArea,Township,Subdivision,School District,Schools-Elementary,Schools-Middle,Schools-HighSchool,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,AssociationFee,AssociationFeeFrequency,Structure Type ,OriginatingMLS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522354,2317 Katherine Ave,RES,2317,Katherine,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,DUNLINDEN ACRES,Red Clay Consolidated,Evan G. Shortlidge Academy,Stanton,Thomas Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518048,4401 Sandy Dr,RES,4401,Sandy,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,KLAIR ESTATES,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC513006,2408 Owen Dr,RES,2408,Owen,,Hartley Place,,Wilmington,DE,19808,NEWCASTLEDE,30903,,KIRKWOOD GARDENS,Red Clay Consolidated,Heritage,Skyline,Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC508044,5901 Old Capitol Trl,RES,5901,Old Capitol,,,,Wilmington,DE,19808,NEWCASTLEDE,30905,,EASTBURN HEIGHTS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC510684,3228 Brookline Rd,RES,3228,Brookline,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$75 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC520348,3205 Brookline Rd,RES,3205,Brookline,,,2,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson,FeeSimple,No,No,Yes,$50 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500064,2425 E Parris Dr,RES,2425,Parris,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,CEDARCREST,Red Clay Consolidated,Mote,Stanton,Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC498974,2210 Alister Dr,RES,2210,Alister,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAULKLAND HEIGHTS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC517252,4520 Hendry Ave,RES,4520,Hendry,,Limestone Rd,,Wilmington,DE,19808,NEWCASTLEDE,30903,,KLAIR ESTATES,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523606,3253 Champions Dr,RES,3253,Champions,,Skyline,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$50 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522204,6 Sandybrae Ct,RES,6,Sandybrae,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LINDEN GREEN,Red Clay Consolidated,,,,Other,No,Yes,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC520338,4 Penndrew Ct,RES,4,Penndrew,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,PENN DREW MANOR,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523950,4809 Weatherhill Dr,RES,4809,Weatherhill,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,WEATHERHILL FARMS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518792,5545 Doral Dr,RES,5545,Doral,,Fairway,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$50 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518678,6018 Old Capitol Trl,RES,6018,Old Capitol,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,NONE AVAILABLE,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC509076,2644 Drayton Dr,RES,2644,Drayton,,,,Wilmington,DE,19808,NEWCASTLEDE,30906,,HERITAGE PARK,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$20 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC503958,2125 Elder Dr,RES,2125,Elder,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,ALBERTSON PARK,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501174,3828 Katherine Ave,RES,3828,Katherine,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,DUNLINDEN ACRES,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC517408,4752 Weatherhill Dr,RES,4752,Weatherhill,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,WEATHERHILL FARMS,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$150 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC505992,2619 Salem Dr,RES,2619,Salem,,Gheen Road,,Wilmington,DE,19808,NEWCASTLEDE,30903,,MONTCLARE,Red Clay Consolidated,Heritage,Skyline,John Dickinson,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC502848,4950 S Raintree Ct,RES,4950,Raintree,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,PEPPER RIDGE,Red Clay Consolidated,Linden Hill,Skyline,Dickinson,FeeSimple,No,No,Yes,$40 ,Annually,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC517542,4432 Sandy Dr,RES,4432,Sandy,,Limestone Rd,,Wilmington,DE,19808,NEWCASTLEDE,30903,,KLAIR ESTATES,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512400,3225 Champions Dr,RES,3225,Champions,,Doral Drive,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,Linden Hill,Skyline,,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC508204,1111 Highland Ave,RES,1111,Highland,,Old Capitol Trl,,Wilmington,DE,19808,NEWCASTLEDE,30903,,MARSHALLTON,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC502158,1212 Lorrain Ave,RES,1212,Lorrain,,Old Capital Trail,,Wilmington,DE,19808,NEWCASTLEDE,30903,,CAPITAL TR FMS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500764,2721 Westlock Dr,RES,2721,Westlock,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,SHERWOOD PARK II,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC508476,3424 Pebble Beach Dr,RES,3424,Pebble Beach,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$50 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
