MLSNumber,Address,BuildingName,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,AssociationFee,AssociationFeeFrequency,Structure Type ,Acres,LotDimensions,LotDescription,FeeIncludes,Age,InteriorSqFt,Interior SqFt Source,AboveGradeSqFt,BelowGradeSqFt,PropertyCondition,Bedrooms,Baths,BathsFull,PartialBaths,Design,Style,NumberofStories,RoomCount,InteriorFeatures,Flooring,Central Air YN,Cooling,PrimaryHeat,HeatDelivery,HotWater,ElectricalSystem,Water,Sewer,Fireplace YN,FireplaceCount,FireplaceFeatures,KitchenAppliancesFeatures,CookingFuel,Other Rooms,LaundryHookUps,Basement YN,BasementType,BasementDescription,BasementFootprintPct,BasementFinishedPct,Garage YN,GarageSpaces,GarageFeatures,Parking,ExteriorFeatures,ExteriorMaterial,Main Roof,Foundation,PorchDeck,SwimmingPoolType,OtherStructures
DENC500680,3420 Cranston Ave,,FeeSimple,No,No,No,,,Detached,0.14,60x100,"Corner,Level",,1930,1550,Assessor,1550,0,Good,4,2,1,1,OneandaHalf,CapeCod,"Main,Upper1",6,"Carpet,ComboKitchenDining,EntryLevBedrm,KitchenEatIn,KitchTableSpce",,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,100AmpService,Public,PublicSewer,No,0,,"Dishwasher, Microwave, Oven/Range - Electric, Refrigerator","Dishwasher, Microwave, Oven/Range - Electric, Refrigerator",,,Yes,"Full,InteriorAccess,Unfinished","Full,InteriorAccess,Unfinished",,,No,,AsphaltDriveway,AsphaltDriveway,,VinylSiding,ArchitecturalShingle,Block,,,
DENC521992,3 Carolina Ct,,FeeSimple,No,No,Yes,$25 ,Annually,Interior Row/Townhouse,0.05,20.00 x 110.00,,,1985,1125,Assessor,1125,0,"Excellent,VeryGood,Good,Average",2,2,1,1,Two,Colonial,"Main,Upper1",,,,Yes,CentralAC,Electric,HeatPumps,Electric,,Public,PublicSewer,,0,,,,,,Yes,"Full,GarageAccess","Full,GarageAccess",,,Yes,1,AsphaltDriveway,AsphaltDriveway,,"AluminumSiding,VinylSiding",,,,,
DENC523212,3411 Haley Ct,,FeeSimple,No,Yes,No,,,Unit/Flat/Apartment,0,0.00 x 0.00,,"CommonAreaMaint,Management,Sewer,SnowRemoval,Trash,Water",2008,0,Assessor,0,0,,2,2,2,,Two,Contemporary,"Main,Upper1",,,,Yes,CentralAC,Electric,HeatPumps,Electric,,Public,PublicSewer,Yes,1,,,,,,No,,,,,No,,,,,"AluminumSiding,VinylSiding",,,,,
DENC512816,4940 Mermaid Blvd,,FeeSimple,No,No,Yes,$40 ,Annually,Interior Row/Townhouse,0.05,16.40 x 126.90,,,1976,1225,Assessor,1225,0,,3,2,1,1,Three,Traditional,"Lower1,Main,Upper1",,,"CeramicTile,Hardwood,PartiallyCarpeted,Vinyl",Yes,CentralAC,Oil,ForcedAir,Electric,,Public,PublicSewer,Yes,1,"FireplaceGlassDoors,Wood",,,,,Yes,Full,Full,,,No,,,,ExteriorLighting,Brick,,,,,
DENC510414,1108 Braken Ave,NONE AVAILABLE,Condominium,No,Yes,No,,,Interior Row/Townhouse,,,,"CommonAreaMaint,ExtBldgMaint,LawnCareFront,LawnCareRear,LawnCareSide,LawnMaintenance,Pools,SnowRemoval",1990,2580,Assessor,2580,0,,3,3,3,,Three,Colonial,"Lower1,Main",,,,Yes,CentralAC,NaturalGas,"EnergyStarHeatingSystem,ForcedAir",NaturalGas,,Public,PublicSewer,,,,,,,,No,,,,,Yes,1,,,"ExteriorLighting,Sidewalks,TennisCourts","AluminumSiding,Brick,VinylSiding",,,,,
DENC517606,5099 W Woodmill Dr,,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.07,21.90 x 161.60,"BacksOpenCommonArea,BacksParkland",,1986,1685,Estimated,1125,560,,2,2,1,1,Three,Colonial,"Main,Upper1,Upper2",,"Carpet,CeilngFans,KitchenEatIn","Carpet,Vinyl",Yes,"CeilingFans,CentralAC,HeatPumps",Electric,"ForcedAir,HeatPumpElectricBackUp",Electric,150Amps,Public,PublicSewer,Yes,1,Wood,,,,MainFlrLndry,Yes,Other,Other,,,Yes,1,,,,"AluminumSiding,VinylSiding",AsbestosShingle,Slab,Decks,,
DENC508042,4936 Tupelo Turn,NONE AVAILABLE,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.06,16x124,,,1976,2279,Assessor,1575,704,,3,2,1,1,Two,Contemporary,"Main,Upper1",6,,,Yes,CentralAC,Electric,HeatPumps,Electric,"150Amps,CircuitBreakers",Public,PublicSewer,,,,,,,,Yes,"OutsideEntrance,Unfinished","OutsideEntrance,Unfinished",,,No,,,,ExteriorLighting,"Brick,VinylSiding",,,,,
DENC500644,5059 E Woodmill Dr,NONE AVAILABLE,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.06,,,,1985,1150,Assessor,1150,0,,2,2,1,1,Two,Colonial,"Main,Upper1",,"CeilngFans,FloorPlanOpen,KitchenEatIn,WalkinClosets,WoodFloors",,Yes,CentralAC,Electric,90ForcedAir,Electric,CircuitBreakers,Public,PublicSewer,No,,,"Built-In Microwave, Dishwasher, Stainless Steel Appliances","Built-In Microwave, Dishwasher, Stainless Steel Appliances",,,Yes,"DaylightPartial,SumpPump,Unfinished","DaylightPartial,SumpPump,Unfinished",,,Yes,1,,,"Sidewalks,StreetLights",Block,,,,,
DENC522324,5018 E Woodmill Dr,,FeeSimple,No,No,Yes,$40 ,Annually,Interior Row/Townhouse,0.05,20.00 x 116.90,,"CommonAreaMaint,SnowRemoval",1984,1150,Assessor,1150,0,,2,2,1,1,Two,Traditional,"Main,Upper1",,"Attic,Carpet,CeilngFans,ComboDiningLiving,KitchenEatIn,TubShower,UpgradedCountertops,WalkinClosets","Carpet,Laminated",Yes,CentralAC,Electric,HeatPumpElectricBackUp,Electric,,Public,PublicSewer,No,0,,"Built-In Microwave, Dishwasher, Disposal, Dryer - Electric, Oven/Range - Electric, Refrigerator, Washer, Water Heater","Built-In Microwave, Dishwasher, Disposal, Dryer - Electric, Oven/Range - Electric, Refrigerator, Washer, Water Heater",,BsmtLaundry,Yes,"Full,SumpPump,Unfinished,WalkoutLevel","Full,SumpPump,Unfinished,WalkoutLevel",,,No,,,,,"AluminumSiding,VinylSiding",Asphalt,ConcretePerimeter,,,
DENC519198,4976 Mermaid Blvd,,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.09,16.00 x 191.80,,,1978,1829,Assessor,1525,304,VeryGood,3,3,2,1,Two,Traditional,"Lower1,Main,Upper1",,Attic,"Carpet,Hardwood,Laminated",Yes,CentralAC,Oil,ForcedAir,Electric,CircuitBreakers,Public,PublicSewer,Yes,1,Wood,"Dishwasher, Dryer - Electric, Oven/Range - Electric, Washer","Dishwasher, Dryer - Electric, Oven/Range - Electric, Washer",,UpprFlrLndry,Yes,"Full,FullyFinished","Full,FullyFinished",,,No,,,,StreetLights,"AluminumSiding,Brick,VinylSiding","Asphalt,Shingle",,Porches,,
DENC507636,5417 Jenmatt Dr,,FeeSimple,No,No,Yes,$50 ,Annually,End of Row/Townhouse,0.11,16.00 x 181.80,,,1981,2352,Assessor,1825,527,,3,2,1,1,Two,Tudor,"Main,Upper1",,,,Yes,CentralAC,Electric,HeatPumps,Electric,,Public,PublicSewer,,0,,,,,,Yes,Full,Full,,,No,,,,,"Brick,Stucco",,,,,
DENC509542,5409 Jenmatt Dr,,FeeSimple,No,No,Yes,$55 ,Annually,Interior Row/Townhouse,0.04,16.00 x 118.40,Level,CommonAreaMaint,1981,1575,Estimated,1225,350,VeryGood,3,2,1,1,Two,Colonial,"Lower1,Main,Upper1",5,"Carpet,CeilngFans,FloorPlanTraditional,KitchenEatIn,StallShower,WalkinClosets,WoodFloors","Carpet,Hardwood",Yes,CentralAC,Electric,HeatPumps,Electric,200PlusAmpService,Public,"PublicSeptic,PublicSewer",No,0,,"Built-In Microwave, Built-In Range, Dishwasher, Dryer - Electric, Microwave, Oven - Self Cleaning, Oven/Range - Electric, Refrigerator, Washer, Water Heater","Built-In Microwave, Built-In Range, Dishwasher, Dryer - Electric, Microwave, Oven - Self Cleaning, Oven/Range - Electric, Refrigerator, Washer, Water Heater",,MainFlrLndry,Yes,"Full,FullyFinished,Heated,InteriorAccess,PartiallyFinished,SumpPump","Full,FullyFinished,Heated,InteriorAccess,PartiallyFinished,SumpPump",,65,No,,,,ExteriorLighting,"Brick,Stucco","Asphalt,Shingle",ConcretePerimeter,,,
DENC505724,3010 Charing Cross,,FeeSimple,No,Yes,No,,,Interior Row/Townhouse,0,0.00 x 0.00,,"CommonAreaMaint,LawnMaintenance,Sewer,SnowRemoval,Trash,Water",1990,0,Assessor,0,0,,3,3,3,,Three,Contemporary,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,HotWater,Electric,,Public,PublicSewer,Yes,1,,,,,,No,,,,,Yes,1,,,,"AluminumSiding,Brick,VinylSiding",,,,,
DENC505084,2004 Louisa Ave,,FeeSimple,No,No,No,,,Detached,0.36,49.60 x 149.50,,,1981,1225,Assessor,1225,0,,4,2,2,,OneandaHalf,CapeCod,"Main,Upper1",,,,No,WindowUnits,Electric,BaseboardElectric,Electric,,Public,PublicSeptic,,0,,,,,,No,,,,,Yes,2,,,,"AluminumSiding,VinylSiding",,,,,
DENC523372,5026 N Tupelo Turn,,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.05,16.40 x 157.00,"BacksOpenCommonArea,BackstoTrees",,1978,1927,Assessor,1575,352,"VeryGood,Good",2,2,1,1,Two,Colonial,"Lower1,Main,Upper1",,"BuiltIns,Carpet,CeilngFans,FamRmOffKitchen,WoodFloors","Carpet,Hardwood,Laminated",Yes,CentralAC,Oil,ForcedAir,Electric,,Public,PublicSewer,Yes,1,"Mantels,Wood",,,,UpprFlrLndry,Yes,"Full,FullyFinished,WalkoutLevel","Full,FullyFinished,WalkoutLevel",,,No,,,,,"AluminumSiding,Brick,VinylSiding",,,"Decks,Patios,Screened",,
DENC520810,11 Kristina Ct,,FeeSimple,No,No,No,,,End of Row/Townhouse,0.08,33.30 x 105.00,"Level,RearYard",,1985,1350,Assessor,1350,0,Excellent,3,4,2,2,Two,"Colonial,Contemporary","Lower1,Lower2,Main,Upper1,Upper2",,"Attic,Carpet,ComboDiningLiving,KitchenEatIn,Pantry,MasterBaths,TubShower,UpgradedCountertops,WalkinClosets","Carpet,CeramicTile",Yes,CentralAC,Electric,HeatPumps,Electric,200PlusAmpService,Public,PublicSeptic,,0,,"Built-In Microwave, Dishwasher, Disposal, ENERGY STAR Refrigerator, Oven/Range - Electric, Water Heater","Built-In Microwave, Dishwasher, Disposal, ENERGY STAR Refrigerator, Oven/Range - Electric, Water Heater",,BsmtLaundry,Yes,Full,Full,,,No,,,,StreetLights,"Brick,VinylSiding",AsbestosShingle,,"Brick,Decks",,
DENC509390,1902 Lincoln Ave.,,FeeSimple,No,No,No,,,Detached,0.17,,,,1920,1450,Estimated,1450,,,3,1,1,,OneandaHalf,"CapeCod,Colonial","Lower1,Main,Upper1,Upper2",,,"Laminated,Wood",Yes,CentralAC,Oil,ForcedAir,NaturalGas,150Amps,Public,PublicSewer,,,,,,,,Yes,"Full,Unfinished","Full,Unfinished",,,No,,ConcreteDriveway,ConcreteDriveway,,VinylSiding,"ArchitecturalShingle,Pitched",BrickMortar,,,
DENC499486,1118 Braken Ave,NONE AVAILABLE,Condominium,No,Yes,No,,,End of Row/Townhouse,,,,"AllGroundFee,CommonAreaMaint,ExtBldgMaint,LawnMaintenance,Management,Pools,SnowRemoval,Trash",1990,0,Assessor,0,0,,3,2,2,,OneandaHalf,Contemporary,"Main,Upper1",,,,Yes,CentralAC,NaturalGas,ForcedAir,,CircuitBreakers,Public,PublicSewer,Yes,1,Wood,,,,MainFlrLndry,No,,,,,Yes,2,Unassigned,Unassigned,ExteriorLighting,"Brick,VinylSiding",Shingle,,"Balcony,Enclosed",,
DENC511264,3221 Brookline Rd,,FeeSimple,No,No,Yes,$60 ,Annually,Interior Row/Townhouse,0.05,16.00 x 138.50,,CommonAreaMaint,1984,1450,Assessor,1450,0,VeryGood,2,3,2,1,Three,Traditional,"Lower1,Main,Upper1",6,"FamRmOffKitchen,WoodFloors",,Yes,"CentralAC,HeatPumps",Electric,HeatPumps,NaturalGas,,Public,PublicSewer,,1,,,,,,Yes,"Full,PartiallyFinished","Full,PartiallyFinished",,,Yes,1,,,,Frame,,,,,
DENC502798,1114 Braken Ave,,Condominium,No,Yes,No,,,Interior Row/Townhouse,,0.00 x 0.00,BacksOpenCommonArea,"AllGroundFee,CommonAreaMaint,ExtBldgMaint,LawnMaintenance,Management,Pools,Sewer,SnowRemoval,Trash,Water",1990,0,Assessor,0,0,Excellent,3,2,2,0,Two,Contemporary,"Main,Upper1",,,Carpet,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,200PlusAmpService,Public,PublicSewer,Yes,1,"FireplaceGlassDoors,GasPropane",,,,"DryerInUnit,WasherInUnit",No,,,,,Yes,1,,,,"AluminumSiding,Brick,VinylSiding",ArchitecturalShingle,,,,
DENC521912,2309 Katherine Ave,,FeeSimple,No,No,No,,,Detached,0.15,60.00 x 110.00,,,1952,1250,Assessor,1250,0,VeryGood,3,2,2,,One,Rancher,Main,,"CeilngFans,ComboDiningLiving,Flat,Sauna",CeramicTile,No,WindowUnits,Oil,ForcedAir,Electric,,Public,PublicSewer,,1,,,,,MainFlrLndry,No,,,,,No,,"AsphaltDriveway,Private","AsphaltDriveway,Private",,Frame,Shingle,,,,
DENC507666,1223 Gilbert Ave,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.2,,,,1956,0,Estimated,0,0,,3,2,1,1,OneandaHalf,SplitLevel,"Lower1,Upper1",,,,Yes,CentralAC,NaturalGas,90ForcedAir,NaturalGas,Other,Public,PrivateSewer,,,,,,,,Yes,Partial,Partial,,,No,,,,Other,Brick,,,,,
DENC503534,5405 Doral Dr,NONE AVAILABLE,FeeSimple,No,No,Yes,$65 ,Annually,Interior Row/Townhouse,0.08,,,,1979,2583,Assessor,1575,1008,,3,2,2,,Three,Traditional,"Main,Upper1",,"CeilngFans,DiningArea,KitchenEatIn",,Yes,CentralAC,Oil,ForcedAir,Other,120240V,Public,PublicSeptic,Yes,1,,,,,,Yes,"PartiallyFinished,WalkoutLevel","PartiallyFinished,WalkoutLevel",,,No,,,,Other,"Brick,WoodSiding",ArchitecturalShingle,,Decks,,
DENC501980,4613 Springers Ln,,FeeSimple,No,No,No,,,Detached,0.24,75.00 x 140.00,,,1954,1625,Assessor,1625,0,Good,4,2,2,,Two,CapeCod,"Lower1,Main",,"CeilngFans,DiningArea,FloorPlanTraditional,WoodFloors",Hardwood,No,None,Oil,HotWater,Electric,CircuitBreakers,Public,PublicSewer,No,0,,Built-In Range,Built-In Range,,BsmtLaundry,Yes,Full,Full,,,Yes,2,AsphaltDriveway,AsphaltDriveway,,"Brick,Frame",Asphalt,Block,,,
DENC501462,2006 Duncan Rd,,FeeSimple,No,No,No,,,Detached,0.07,180.00 x 80.00,"FloodPlain,SteamCreek",,1900,1550,Assessor,1550,0,,3,2,2,0,Two,Colonial,"Lower1,Main,Upper1",,,,Yes,CentralAC,Electric,HotWater,Electric,,Public,PublicSewer,No,0,,"Dishwasher, Microwave, Oven/Range - Electric, Refrigerator, Stainless Steel Appliances","Dishwasher, Microwave, Oven/Range - Electric, Refrigerator, Stainless Steel Appliances",,,Yes,"Partial,SumpPump,Unfinished","Partial,SumpPump,Unfinished",,,No,,,,,Stucco,,,"Decks,Porches",,
DENC507686,3818 Evelyn Dr,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.14,,,,1954,1075,Assessor,1075,0,,3,1,1,0,One,Rancher,Main,,,,Yes,CentralAC,Oil,ForcedAir,Electric,"150Amps,CircuitBreakers",Public,PublicSewer,,,,,,,,No,,,,,No,,,,Other,"Brick,VinylSiding",,,,,
DENC508130,1522 Braken Ave,,FeeSimple,No,Yes,Yes,$275 ,Annually,End of Row/Townhouse,0,0.00 x 0.00,,"CommonAreaMaint,ExtBldgMaint,LawnMaintenance,Management,Pools,Sewer,SnowRemoval,Trash,Water",1993,0,Assessor,0,0,Average,2,2,2,,Three,"Contemporary,Loft","Main,Upper1,Upper2",,"Carpet,FloorPlanOpen,FormalSeparateDiningRoom,KitchenEatIn,MasterBaths,StallShower,WalkinClosets,WindowTreatments","Carpet,CeramicTile,Vinyl",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,"150Amps,CircuitBreakers,Underground",Public,PublicSewer,Yes,1,Screen,"Dishwasher, Disposal, Dryer, Oven - Self Cleaning, Refrigerator, Stove, Washer, Water Heater - High-Efficiency","Dishwasher, Disposal, Dryer, Oven - Self Cleaning, Refrigerator, Stove, Washer, Water Heater - High-Efficiency",,UpprFlrLndry,No,,,,,Yes,1,"ConcreteDriveway,SharedDriveway,Unassigned","ConcreteDriveway,SharedDriveway,Unassigned","ExteriorLighting,Sidewalks,StreetLights","AluminumSiding,Brick,MixedPlumbing,VinylSiding","Pitched,Shingle",Block,Balcony,,
DENC507822,3813 Evelyn Dr,,FeeSimple,No,No,No,,,Detached,0.16,60.00 x 120.00,"FrontYard,Level,RearYard,SideYards",,1954,1075,Assessor,1075,0,Good,3,1,1,,One,Rancher,"Main,Upper1",,"Attic,DiningArea,KitchenEatIn","Carpet,Vinyl,Wood",Yes,CentralAC,Oil,ForcedAir,Electric,200PlusAmpService,Public,PublicSewer,Yes,1,BrickFirePl,"Dryer, Microwave, Oven - Self Cleaning, Refrigerator, Washer","Dryer, Microwave, Oven - Self Cleaning, Refrigerator, Washer",,MainFlrLndry,No,,,,,No,,,,Sidewalks,"Asphalt,Frame,VinylSiding","Asphalt,Pitched,Shingle","BrickMortar,Slab",,,
DENC520716,3235 Brookline Rd,,FeeSimple,No,No,Yes,$50 ,Annually,Interior Row/Townhouse,0.05,16.00 x 144.60,RearYard,CommonAreaMaint,1984,1450,Assessor,1450,0,VeryGood,2,3,2,1,Three,Traditional,"Lower1,Main,Upper1",,,"Carpet,Laminated",Yes,CentralAC,Electric,HeatPumps,Electric,"200PlusAmpService,CircuitBreakers",Public,PublicSewer,Yes,1,Wood,,,,UpprFlrLndry,Yes,"Full,GarageAccess,Unfinished","Full,GarageAccess,Unfinished",,,Yes,1,AsphaltDriveway,AsphaltDriveway,,Frame,ArchitecturalShingle,,,,
DENC512480,3419 Pebble Beach Dr,,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.07,24.00 x 125.00,,,1979,1550,Assessor,1550,0,,3,2,1,1,Two,Traditional,Main,,,,Yes,CentralAC,Electric,Central,Electric,,Public,PublicSewer,,0,,,,,,Yes,Full,Full,,,Yes,1,,,,"AluminumSiding,Brick,VinylSiding",,,,,
DENC497602,4917 Hogan Dr,NONE AVAILABLE,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.06,,,,1982,1625,Assessor,1625,0,,3,3,2,1,Two,Contemporary,"Main,Upper1",,,,Yes,CentralAC,Electric,HeatPumps,,120240V,Public,PublicSewer,,,,,,,,Yes,Unfinished,Unfinished,,,No,,,,StreetLights,VinylSiding,,,Decks,,
DENC511338,3214 Champions Dr,,FeeSimple,No,No,Yes,$50 ,Annually,End of Row/Townhouse,0.12,26.10 x 150.30,,,1986,1825,Assessor,1825,0,,2,3,2,1,Two,Colonial,"Main,Upper1",,,,Yes,CentralAC,Electric,HeatPumps,Electric,,Public,PublicSewer,,1,,,,,,Yes,Partial,Partial,,,No,,,,,Stucco,,,,,
