MLSNumber,Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,NumberofStories,Central_Air_YN,Water,Basement_YN,Garage_YN,ExteriorMaterial,YearBuilt
DENC520810,220000.0,19808,WOODMILL,Red Clay Consolidated,No,End of Row/Townhouse,0.08,1350.0,1350.0,0.0,3.0,4.0,"Lower1,Lower2,Main,Upper1,Upper2",Yes,Public,Yes,No,"Brick,VinylSiding",1985
DENC511264,234900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1450.0,1450.0,0.0,2.0,3.0,"Lower1,Main,Upper1",Yes,Public,Yes,Yes,Frame,1984
DENC521912,225000.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.15,1250.0,1250.0,0.0,3.0,2.0,Main,No,Public,No,No,Frame,1952
DENC507666,220000.0,19808,CAPITAL TR FMS,Red Clay Consolidated,No,Detached,0.2,0.0,0.0,0.0,3.0,2.0,"Lower1,Upper1",Yes,Public,Yes,No,Brick,1956
DENC503534,225000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.08,2583.0,1575.0,1008.0,3.0,2.0,"Main,Upper1",Yes,Public,Yes,No,"Brick,WoodSiding",1979
DENC501980,225000.0,19808,LIMESTONE ACRES,Red Clay Consolidated,No,Detached,0.24,1625.0,1625.0,0.0,4.0,2.0,"Lower1,Main",No,Public,Yes,Yes,"Brick,Frame",1954
DENC501462,239000.0,19808,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.07,1550.0,1550.0,0.0,3.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,Stucco,1900
DENC507686,224900.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.14,1075.0,1075.0,0.0,3.0,1.0,Main,Yes,Public,No,No,"Brick,VinylSiding",1954
DENC508130,225000.0,19808,BERKSHIRE LIMESTON,Red Clay Consolidated,Yes,End of Row/Townhouse,0.0,0.0,0.0,0.0,2.0,2.0,"Main,Upper1,Upper2",Yes,Public,No,Yes,"AluminumSiding,Brick,MixedPlumbing,VinylSiding",1993
DENC507822,239900.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.16,1075.0,1075.0,0.0,3.0,1.0,"Main,Upper1",Yes,Public,No,No,"Asphalt,Frame,VinylSiding",1954
DENC520716,225000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1450.0,1450.0,0.0,2.0,3.0,"Lower1,Main,Upper1",Yes,Public,Yes,Yes,Frame,1984
DENC512480,238000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,No,Interior Row/Townhouse,0.07,1550.0,1550.0,0.0,3.0,2.0,Main,Yes,Public,Yes,Yes,"AluminumSiding,Brick,VinylSiding",1979
DENC511338,229000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,End of Row/Townhouse,0.12,1825.0,1825.0,0.0,2.0,3.0,"Main,Upper1",Yes,Public,Yes,No,Stucco,1986
DENC510466,219900.0,19808,CAPITAL TR FMS,Red Clay Consolidated,No,Detached,0.11,1450.0,1450.0,0.0,3.0,2.0,"Main,Upper1",No,Public,Yes,Yes,"AluminumSiding,VinylSiding",1940
DENC524506,214900.0,19808,WOODMILL,Red Clay Consolidated,No,End of Row/Townhouse,0.08,1400.0,1400.0,0.0,3.0,3.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1985
DENC523362,224900.0,19808,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.17,1075.0,1075.0,0.0,3.0,1.0,Main,Yes,Public,No,No,Concrete,1950
DENC521672,230000.0,19808,KIRKWOOD GARDENS,Red Clay Consolidated,No,Detached,0.15,925.0,925.0,0.0,3.0,1.0,Main,Yes,Public,No,No,"AluminumSiding,VinylSiding",1957
DENC509908,235000.0,19808,FAULKLAND HEIGHTS,Red Clay Consolidated,No,Detached,0.15,1025.0,1025.0,0.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,Yes,"Asbestos,Brick,VinylSiding",1960
DENC520624,224900.0,19808,WOODMILL,Red Clay Consolidated,No,End of Row/Townhouse,0.13,1325.0,1325.0,0.0,3.0,3.0,Main,Yes,Public,Yes,No,"AluminumSiding,VinylSiding",1984
DENC522354,225000.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.15,1125.0,1125.0,0.0,3.0,1.0,Main,Yes,Public,No,No,Frame,1952
DENC518048,229900.0,19808,KLAIR ESTATES,Red Clay Consolidated,No,Detached,0.46,2400.0,1800.0,600.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,No,"Brick,Frame",1959
DENC513006,239500.0,19808,KIRKWOOD GARDENS,Red Clay Consolidated,No,Detached,0.17,1100.0,1100.0,0.0,3.0,2.0,Main,No,Public,No,No,Other,1957
DENC508044,225000.0,19808,EASTBURN HEIGHTS,Red Clay Consolidated,No,Detached,0.58,1700.0,1700.0,0.0,3.0,2.0,Main,Yes,Public,Yes,Yes,"Brick,Frame,VinylSiding",1937
DENC510684,225000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,2036.0,1700.0,336.0,2.0,3.0,"Main,Upper1",Yes,Public,Yes,No,Frame,1984
DENC520348,239000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1450.0,1450.0,0.0,2.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,Yes,Frame,1984
DENC500064,255000.0,19808,CEDARCREST,Red Clay Consolidated,No,Detached,0.24,2650.0,1650.0,1000.0,4.0,2.0,"Lower1,Main",Yes,Public,Yes,Yes,Brick,1964
DENC517252,215000.0,19808,KLAIR ESTATES,Red Clay Consolidated,No,Detached,0.32,2431.0,1825.0,606.0,3.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,Yes,"Asbestos,Brick",1956
DENC523606,234000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1425.0,1425.0,0.0,2.0,3.0,"Main,Upper1",Yes,Public,Yes,Yes,Other,1985
DENC520338,239000.0,19808,PENN DREW MANOR,Red Clay Consolidated,No,Detached,0.23,2198.0,1650.0,548.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,No,Brick,1960
DENC523950,235000.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1826.0,1476.0,350.0,2.0,3.0,"Main,Upper1",Yes,Public,Yes,No,"Block,Brick",1987
DENC518792,185000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.11,3310.0,2500.0,810.0,3.0,3.0,"Main,Upper1,Upper2",Yes,Public,Yes,No,"Brick,Frame",1983
DENC518678,235000.0,19808,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.32,1450.0,1450.0,0.0,3.0,1.0,Main,No,Public,Yes,Yes,Brick,1950
DENC509076,235000.0,19808,HERITAGE PARK,Red Clay Consolidated,Yes,Detached,0.22,1725.0,1725.0,0.0,4.0,2.0,Main,Yes,Public,Yes,Yes,"AluminumSiding,Asbestos,VinylSiding",1961
DENC503958,250000.0,19808,ALBERTSON PARK,Red Clay Consolidated,No,Detached,0.17,2080.0,1600.0,480.0,3.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,Yes,VinylSiding,1961
DENC517408,247900.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.04,1600.0,1600.0,0.0,2.0,3.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,"Brick,VinylSiding",1986
DENC505992,250000.0,19808,MONTCLARE,Red Clay Consolidated,No,Detached,0.19,2493.0,1875.0,618.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,Yes,"Asbestos,Brick",1966
DENC517542,239900.0,19808,KLAIR ESTATES,Red Clay Consolidated,No,Detached,0.15,2270.0,1700.0,570.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,No,Brick,1959
DENC512400,265000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,2354.0,1850.0,504.0,2.0,3.0,"Lower1,Main,Upper1",Yes,Public,Yes,Yes,VinylSiding,1986
DENC508204,235000.0,19808,MARSHALLTON,Red Clay Consolidated,No,Detached,0.18,1125.0,1125.0,0.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,Yes,"AluminumSiding,Stone",1977
DENC502158,240000.0,19808,CAPITAL TR FMS,Red Clay Consolidated,No,Detached,0.14,1425.0,1125.0,300.0,3.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,Brick,1962
DENC500764,229900.0,19808,SHERWOOD PARK II,Red Clay Consolidated,No,Detached,0.2,2498.0,1875.0,623.0,4.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,Yes,"Brick,VinylSiding",1959
DENC508476,234900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.07,1825.0,1575.0,250.0,3.0,3.0,"Lower1,Lower2,Main,Upper1",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1980
DENC523874,229900.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.24,1500.0,1500.0,0.0,4.0,2.0,"Main,Upper1",Yes,Public,No,Yes,"AluminumSiding,Brick,VinylSiding",1954
DENC517754,239900.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,No,Interior Row/Townhouse,0.05,1834.0,1650.0,184.0,2.0,3.0,"Main,Upper1",Yes,Public,Yes,Yes,"AluminumSiding,Brick,VinylSiding",1988
DENC499872,249900.0,19808,DELPARK MANOR,Red Clay Consolidated,No,Detached,0.23,1698.0,1425.0,273.0,3.0,2.0,"Main,Upper1,Upper2",No,Public,Yes,Yes,"AluminumSiding,Brick,VinylSiding",1958
DENC505060,249900.0,19808,VILLAGE OF LINDELL,Red Clay Consolidated,No,Detached,0.16,1500.0,1500.0,0.0,3.0,2.0,"Main,Upper1",Yes,Public,No,No,VinylSiding,1985
DENC523916,234900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1900.0,1900.0,0.0,2.0,3.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,Other,1985
DENC523336,235000.0,19808,FAULKLAND HEIGHTS,Red Clay Consolidated,No,Detached,0.15,1000.0,1000.0,0.0,3.0,1.0,Main,Yes,Public,Yes,No,"Brick,VinylSiding",1960
DENC510198,245000.0,19808,LIMESTONE ACRES,Red Clay Consolidated,No,Detached,0.19,1500.0,1500.0,0.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,Yes,Brick,1961
DENC502980,260000.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1475.0,1475.0,0.0,3.0,3.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1988
DENC500324,265000.0,19808,LIMESTONE HILLS WEST,Red Clay Consolidated,No,End of Row/Townhouse,0.17,2030.0,1700.0,330.0,3.0,2.0,"Main,Upper1",Yes,Public,Yes,Yes,"AluminumSiding,VinylSiding",1993
DENC501922,235000.0,19808,BRANDYWINE SPRINGS,Red Clay Consolidated,No,Detached,0.18,2295.0,1875.0,420.0,3.0,3.0,"Main,Upper1",Yes,Public,Yes,Yes,"Asbestos,Brick",1966
DENC501074,247500.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,End of Row/Townhouse,0.17,2631.0,1975.0,656.0,4.0,2.0,"Lower1,Lower2,Main",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1978
DENC502326,239999.0,19808,LIMESTONE GARDENS,Red Clay Consolidated,No,Detached,0.29,2022.0,1450.0,572.0,3.0,2.0,Main,Yes,"Filter,HoldingTank",Yes,Yes,"Brick,Frame,VinylSiding",1956
DENC524374,250000.0,19808,CRANSTON HEIGHTS,Red Clay Consolidated,No,Detached,0.17,1400.0,1400.0,0.0,3.0,2.0,"Main,Upper1",Yes,Public,Yes,No,"AluminumSiding,VinylSiding",1940
DENC521594,235000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,No,Interior Row/Townhouse,0.07,1475.0,1475.0,0.0,3.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1978
DENC518582,265900.0,19808,STONEY BATTER,Red Clay Consolidated,Yes,Unit/Flat/Apartment,0.0,0.0,0.0,0.0,2.0,2.0,Main,Yes,Public,No,No,"Brick,Frame",1987
DENC518650,250000.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.06,1450.0,1450.0,0.0,2.0,3.0,"Main,Upper1",No,Public,Yes,No,"Brick,VinylSiding",1988
DENC512722,188000.0,19808,SHERWOOD PARK II,Red Clay Consolidated,No,Detached,0.27,2498.0,1875.0,623.0,4.0,2.0,"Lower1,Lower2,Main,Upper1",No,Public,Yes,Yes,"AluminumSiding,Brick",1959
DENC512084,274900.0,19808,DUNCAN WOODS,Red Clay Consolidated,No,Detached,0.15,1150.0,1150.0,0.0,4.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,"Brick,Frame",1978
DENC511666,240000.0,19808,LIMESTONE ACRES,Red Clay Consolidated,Yes,Detached,0.25,1725.0,1725.0,0.0,3.0,2.0,"Main,Upper1",No,Public,Yes,Yes,Brick,1953
DENC511004,250000.0,19808,KLAIR ESTATES,Red Clay Consolidated,No,Detached,0.21,1750.0,1162.0,588.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,Yes,Brick,1957
DENC501862,250000.0,19808,HERITAGE PARK,Red Clay Consolidated,Yes,Detached,0.2,2664.0,2000.0,664.0,4.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,Yes,"AluminumSiding,Brick,VinylSiding",1964
DENC498786,239999.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1475.0,1475.0,0.0,3.0,3.0,"Lower1,Main,Upper1,Upper2",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1987
DENC517190,279900.0,19808,BROOKMEADE II,Red Clay Consolidated,Yes,Detached,0.24,0.0,0.0,0.0,3.0,3.0,Main,Yes,Public,Yes,Yes,Brick,1966
DENC512534,249900.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1834.0,1650.0,184.0,2.0,3.0,"Lower1,Main,Upper1,Upper2",Yes,Public,Yes,Yes,"BrickFront,VinylSiding",1987
DENC509920,255000.0,19808,FAULKLAND HEIGHTS,Red Clay Consolidated,Yes,Detached,0.12,1807.0,1375.0,432.0,3.0,1.0,Main,Yes,Public,Yes,No,"Brick,VinylSiding",1960
DENC511208,239900.0,19808,AVALON,Red Clay Consolidated,No,Detached,0.08,2000.0,2000.0,0.0,3.0,3.0,"Main,Upper1",Yes,Public,Yes,No,"AluminumSiding,VinylSiding",1934
DENC509770,249000.0,19808,MAPLECREST,Red Clay Consolidated,No,Detached,0.15,2716.0,2050.0,666.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,Yes,Brick,1961
DENC505268,249900.0,19808,FAULKLAND HEIGHTS,Red Clay Consolidated,Yes,Detached,0.25,1975.0,1500.0,475.0,3.0,1.0,"Lower1,Main",Yes,Public,Yes,No,"Brick,VinylSiding",1960
DENC504370,255000.0,19808,PINECREST,Red Clay Consolidated,No,Detached,0.2,2131.0,1775.0,356.0,4.0,2.0,"Lower1,Main",No,Public,Yes,No,"Brick,Stone",1960
DENC504172,265000.0,19808,KIRKWOOD GARDENS,Red Clay Consolidated,No,Detached,0.13,1275.0,1275.0,0.0,3.0,2.0,Main,Yes,Public,No,No,"AluminumSiding,VinylSiding",1956
DENC518736,249900.0,19808,MARSHALLTON HGTS,Red Clay Consolidated,No,Detached,0.15,2300.0,2300.0,0.0,4.0,3.0,"Lower1,Main",Yes,Public,Yes,No,"Brick,VinylSiding",1976
DENC502990,274900.0,19808,MAPLECREST,Red Clay Consolidated,No,Detached,0.16,1950.0,1275.0,675.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,Yes,Brick,1961
DENC520832,274900.0,19808,MAPLECREST,Red Clay Consolidated,No,Detached,0.18,1225.0,1225.0,0.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,Yes,Brick,1963
DENC518054,259900.0,19808,MAPLECREST,Red Clay Consolidated,No,Detached,0.2,2450.0,1850.0,600.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,No,"Brick,VinylSiding",1961
DENC507544,259900.0,19808,MAPLECREST,Red Clay Consolidated,No,Detached,0.18,1275.0,1275.0,0.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1961
DENC523178,199900.0,19808,SHERWOOD PARK II,Red Clay Consolidated,No,Detached,0.19,2050.0,2050.0,0.0,3.0,2.0,"Main,Upper1,Upper2",No,Public,Yes,Yes,"AluminumSiding,Brick",1959
DENC522706,259900.0,19808,KIRKWOOD GARDENS,Red Clay Consolidated,No,Detached,0.17,1075.0,1075.0,0.0,3.0,1.0,Main,Yes,Public,No,Yes,"AluminumSiding,VinylSiding",1956
DENC522466,269900.0,19808,GRENDON FARMS,Red Clay Consolidated,No,Detached,0.33,1675.0,1675.0,0.0,3.0,2.0,Main,Yes,Public,Yes,Yes,"Asbestos,Brick",1961
DENC503184,254900.0,19808,KIRKWOOD GARDENS,Red Clay Consolidated,No,Detached,0.18,2625.0,1575.0,1050.0,3.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,Yes,"AluminumSiding,Brick,VinylSiding",1956
DENC509278,250000.0,19808,SKYLINE CREST,Red Clay Consolidated,No,Detached,0.29,1775.0,1775.0,0.0,3.0,3.0,Main,Yes,Public,Yes,Yes,"Asbestos,Brick",1966
DENC508528,249900.0,19808,FAULKLAND HEIGHTS,Red Clay Consolidated,No,Detached,0.15,1548.0,1300.0,248.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1960
DENC509890,255000.0,19808,ALBERTSON PARK,Red Clay Consolidated,No,Detached,0.15,2221.0,1675.0,546.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1961
DENC519792,260000.0,19808,ARUNDEL,Red Clay Consolidated,Yes,Detached,0.23,1800.0,1800.0,0.0,4.0,3.0,"Lower1,Main,Upper1",Yes,Public,Yes,Yes,"Brick,VinylSiding",1970
DENC507850,259000.0,19808,TYBROOK,Red Clay Consolidated,No,Detached,0.2,2270.0,1700.0,570.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,No,Brick,1960
DENC523992,284900.0,19808,GRENDON FARMS,Red Clay Consolidated,No,Detached,0.32,2697.0,1975.0,722.0,4.0,3.0,"Main,Upper1,Upper2,Upper3",Yes,Public,Yes,No,"Brick,VinylSiding",1960
DENC521572,314900.0,19808,CEDARS,Red Clay Consolidated,No,Detached,0.33,1575.0,1575.0,0.0,3.0,3.0,Main,Yes,Public,Yes,Yes,"AluminumSiding,VinylSiding",1994
DENC521126,260000.0,19808,LIMESTONE HILLS WEST,Red Clay Consolidated,Yes,End of Row/Townhouse,0.13,2150.0,1825.0,325.0,2.0,3.0,"Main,Upper1",Yes,Public,Yes,Yes,VinylSiding,1993
DENC519780,255000.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1475.0,1475.0,0.0,2.0,3.0,"Lower1,Main,Upper1",Yes,Public,Yes,Yes,"Brick,VinylSiding",1986
DENC519702,265000.0,19808,SHERWOOD PARK I,Red Clay Consolidated,No,Detached,0.23,1825.0,1825.0,0.0,3.0,2.0,"Main,Upper1",Yes,Public,No,Yes,"Brick,VinylSiding",1956
DENC507654,259900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,No,End of Row/Townhouse,0.11,1550.0,1550.0,0.0,3.0,2.0,Main,Yes,Public,Yes,Yes,"AluminumSiding,Brick,VinylSiding",1979
DENC507868,265000.0,19808,MARSHALLTON HGTS,Red Clay Consolidated,No,Detached,0.28,1350.0,900.0,450.0,2.0,2.0,"Lower1,Main",Yes,Public,Yes,Yes,"AluminumSiding,Brick,VinylSiding",1970
DENC506164,275000.0,19808,LIMESTONE HILLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.07,1980.0,1650.0,330.0,2.0,2.0,"Main,Upper1,Upper2",Yes,None,Yes,Yes,VinylSiding,1993
DENC504290,269000.0,19808,BROOKDALE FARMS,Red Clay Consolidated,No,Detached,0.2,1575.0,1575.0,0.0,4.0,3.0,"Main,Upper1",Yes,Public,Yes,No,"Asbestos,Brick",1965
DENC503704,260000.0,19808,KIRKWOOD GARDENS,Red Clay Consolidated,Yes,Detached,0.22,1997.0,1425.0,572.0,3.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,Yes,"Brick,VinylSiding",1956
DENC510674,315000.0,19808,SKYLINE HILLS OF,Red Clay Consolidated,No,Detached,0.31,2325.0,2325.0,0.0,4.0,3.0,"Main,Upper1",Yes,Public,Yes,Yes,"Brick,VinylSiding",1966
DENC512772,274900.0,19808,DELPARK MANOR,Red Clay Consolidated,No,Detached,0.18,1675.0,1675.0,0.0,3.0,2.0,Main,No,Public,Yes,Yes,"Brick,VinylSiding",1957
DENC510948,275000.0,19808,LIMESTONE HILLS WEST,Red Clay Consolidated,Yes,End of Row/Townhouse,0.21,2030.0,1700.0,330.0,2.0,2.0,"Main,Upper1,Upper2",Yes,Public,Yes,Yes,"Brick,VinylSiding",1993
DENC518896,259900.0,19808,EASTBURN HEIGHTS,Red Clay Consolidated,No,Detached,0.34,2969.0,2225.0,744.0,3.0,2.0,Main,No,Public,Yes,No,Brick,1958
DENC521652,279900.0,19808,EASTBURN ACRES,Red Clay Consolidated,No,Detached,0.36,1500.0,1500.0,0.0,3.0,1.0,"Main,Upper1",Yes,Public,No,No,VinylSiding,1950
DENC521392,269900.0,19808,FAULKLAND HEIGHTS,Red Clay Consolidated,No,Detached,0.23,2005.0,1525.0,480.0,3.0,2.0,"Lower1,Main",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1960
