MLSNumber,Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,Age,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,BathsFull,Design,Style,NumberofStories,Central_Air_YN,Cooling,PrimaryHeat,HeatDelivery,HotWater,Water,Sewer,Basement_YN,Garage_YN,ExteriorMaterial,LotFrontage,LotDepth,LotSqFt,LotAcres,YearBuilt
DENC523212,197900.0,19808,BIRCH POINTE,Red Clay Consolidated,No,Unit/Flat/Apartment,0.0,2008.0,0.0,0.0,0.0,2.0,2.0,2.0,Two,Contemporary,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,No,No,"AluminumSiding,VinylSiding",0.0,0.0,0,0.0,2008
DENC512816,224900.0,19808,PEPPER RIDGE,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1976.0,1225.0,1225.0,0.0,3.0,2.0,1.0,Three,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,Brick,16.4,126.9,2178,0.05,1976
DENC517606,210000.0,19808,WOODMILL,Red Clay Consolidated,No,Interior Row/Townhouse,0.07,1986.0,1685.0,1125.0,560.0,2.0,2.0,1.0,Three,Colonial,"Main,Upper1,Upper2",Yes,"CeilingFans,CentralAC,HeatPumps",Electric,"ForcedAir,HeatPumpElectricBackUp",Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,VinylSiding",21.9,161.6,3049,0.07,1986
DENC508042,224900.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1976.0,2279.0,1575.0,704.0,3.0,2.0,1.0,Two,Contemporary,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,"Brick,VinylSiding",16.1,124.0,2614,0.06,1976
DENC500644,214900.0,19808,WOODMILL,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1985.0,1150.0,1150.0,0.0,2.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Electric,90ForcedAir,Electric,Public,PublicSewer,Yes,Yes,Block,20.0,135.9,2614,0.06,1985
DENC522324,210000.0,19808,WOODMILL,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1984.0,1150.0,1150.0,0.0,2.0,2.0,1.0,Two,Traditional,"Main,Upper1",Yes,CentralAC,Electric,HeatPumpElectricBackUp,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,VinylSiding",20.0,116.9,2178,0.05,1984
DENC519198,212900.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.09,1978.0,1829.0,1525.0,304.0,3.0,3.0,2.0,Two,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",16.0,191.8,3920,0.09,1978
DENC507636,219000.0,19808,LINDEN HILL SQUARE,Red Clay Consolidated,Yes,End of Row/Townhouse,0.11,1981.0,2352.0,1825.0,527.0,3.0,2.0,1.0,Two,Tudor,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,"Brick,Stucco",16.0,181.8,4792,0.11,1981
DENC509542,210000.0,19808,LINDEN HILL SQUARE,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.04,1981.0,1575.0,1225.0,350.0,3.0,2.0,1.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,"PublicSeptic,PublicSewer",Yes,No,"Brick,Stucco",16.0,118.4,1742,0.04,1981
DENC505724,219900.0,19808,BERKSHIRE,Red Clay Consolidated,No,Interior Row/Townhouse,0.0,1990.0,0.0,0.0,0.0,3.0,3.0,3.0,Three,Contemporary,"Main,Upper1",Yes,CentralAC,NaturalGas,HotWater,Electric,Public,PublicSewer,No,Yes,"AluminumSiding,Brick,VinylSiding",0.0,0.0,0,0.0,1990
DENC505084,219900.0,19808,EASTBURN ACRES,Red Clay Consolidated,No,Detached,0.36,1981.0,1225.0,1225.0,0.0,4.0,2.0,2.0,OneandaHalf,CapeCod,"Main,Upper1",No,WindowUnits,Electric,BaseboardElectric,Electric,Public,PublicSeptic,No,Yes,"AluminumSiding,VinylSiding",49.6,149.5,15682,0.36,1981
DENC523372,209900.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.05,1978.0,1927.0,1575.0,352.0,2.0,2.0,1.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",16.4,157.0,2178,0.05,1978
DENC520810,220000.0,19808,WOODMILL,Red Clay Consolidated,No,End of Row/Townhouse,0.08,1985.0,1350.0,1350.0,0.0,3.0,4.0,2.0,Two,"Colonial,Contemporary","Lower1,Lower2,Main,Upper1,Upper2",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSeptic,Yes,No,"Brick,VinylSiding",33.3,105.0,3485,0.08,1985
DENC511264,234900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1984.0,1450.0,1450.0,0.0,2.0,3.0,2.0,Three,Traditional,"Lower1,Main,Upper1",Yes,"CentralAC,HeatPumps",Electric,HeatPumps,NaturalGas,Public,PublicSewer,Yes,Yes,Frame,16.0,138.5,2178,0.05,1984
DENC521912,225000.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.15,1952.0,1250.0,1250.0,0.0,3.0,2.0,2.0,One,Rancher,Main,No,WindowUnits,Oil,ForcedAir,Electric,Public,PublicSewer,No,No,Frame,60.0,110.0,6534,0.15,1952
DENC507666,220000.0,19808,CAPITAL TR FMS,Red Clay Consolidated,No,Detached,0.2,1956.0,0.0,0.0,0.0,3.0,2.0,1.0,OneandaHalf,SplitLevel,"Lower1,Upper1",Yes,CentralAC,NaturalGas,90ForcedAir,NaturalGas,Public,PrivateSewer,Yes,No,Brick,60.0,119.8,8712,0.2,1956
DENC503534,225000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.08,1979.0,2583.0,1575.0,1008.0,3.0,2.0,2.0,Three,Traditional,"Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Other,Public,PublicSeptic,Yes,No,"Brick,WoodSiding",24.1,145.4,3485,0.08,1979
DENC501980,225000.0,19808,LIMESTONE ACRES,Red Clay Consolidated,No,Detached,0.24,1954.0,1625.0,1625.0,0.0,4.0,2.0,2.0,Two,CapeCod,"Lower1,Main",No,None,Oil,HotWater,Electric,Public,PublicSewer,Yes,Yes,"Brick,Frame",75.0,140.0,10454,0.24,1954
DENC501462,239000.0,19808,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.07,1900.0,1550.0,1550.0,0.0,3.0,2.0,2.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HotWater,Electric,Public,PublicSewer,Yes,No,Stucco,180.0,80.0,3049,0.07,1900
DENC507686,224900.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.14,1954.0,1075.0,1075.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,No,No,"Brick,VinylSiding",60.0,110.0,6098,0.14,1954
DENC508130,225000.0,19808,BERKSHIRE LIMESTON,Red Clay Consolidated,Yes,End of Row/Townhouse,0.0,1993.0,0.0,0.0,0.0,2.0,2.0,2.0,Three,"Contemporary,Loft","Main,Upper1,Upper2",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,Yes,"AluminumSiding,Brick,MixedPlumbing,VinylSiding",0.0,0.0,0,0.0,1993
DENC507822,239900.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.16,1954.0,1075.0,1075.0,0.0,3.0,1.0,1.0,One,Rancher,"Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,No,No,"Asphalt,Frame,VinylSiding",60.0,120.0,6970,0.16,1954
DENC520716,225000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1984.0,1450.0,1450.0,0.0,2.0,3.0,2.0,Three,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,Frame,16.0,144.6,2178,0.05,1984
DENC512480,238000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,No,Interior Row/Townhouse,0.07,1979.0,1550.0,1550.0,0.0,3.0,2.0,1.0,Two,Traditional,Main,Yes,CentralAC,Electric,Central,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,Brick,VinylSiding",24.0,125.0,3049,0.07,1979
DENC511338,229000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,End of Row/Townhouse,0.12,1986.0,1825.0,1825.0,0.0,2.0,3.0,2.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,Stucco,26.1,150.3,5227,0.12,1986
DENC510466,219900.0,19808,CAPITAL TR FMS,Red Clay Consolidated,No,Detached,0.11,1940.0,1450.0,1450.0,0.0,3.0,2.0,2.0,Two,Colonial,"Main,Upper1",No,"MultiUnits,WholeHouseFan","Electric,NaturalGas",HotWater,NaturalGas,Public,PublicSeptic,Yes,Yes,"AluminumSiding,VinylSiding",49.1,94.0,4791,0.11,1940
DENC524506,214900.0,19808,WOODMILL,Red Clay Consolidated,No,End of Row/Townhouse,0.08,1985.0,1400.0,1400.0,0.0,3.0,3.0,2.0,Two,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",33.3,107.1,3485,0.08,1985
DENC523362,224900.0,19808,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.17,1950.0,1075.0,1075.0,0.0,3.0,1.0,1.0,One,RaisedRanch,Main,Yes,CentralAC,Electric,ForcedAir,Electric,Public,PublicSewer,No,No,Concrete,79.5,107.0,7405,0.17,1950
DENC521672,230000.0,19808,KIRKWOOD GARDENS,Red Clay Consolidated,No,Detached,0.15,1957.0,925.0,925.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,No,No,"AluminumSiding,VinylSiding",60.0,110.0,6534,0.15,1957
DENC509908,235000.0,19808,FAULKLAND HEIGHTS,Red Clay Consolidated,No,Detached,0.15,1960.0,1025.0,1025.0,0.0,3.0,2.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,NaturalGas,Central,NaturalGas,Public,PublicSewer,Yes,Yes,"Asbestos,Brick,VinylSiding",60.0,110.0,6534,0.15,1960
DENC520624,224900.0,19808,WOODMILL,Red Clay Consolidated,No,End of Row/Townhouse,0.13,1984.0,1325.0,1325.0,0.0,3.0,3.0,2.0,Two,Other,Main,Yes,CentralAC,Electric,"Central,ForcedAir",Electric,Public,PublicSewer,Yes,No,"AluminumSiding,VinylSiding",76.1,129.8,5663,0.13,1984
DENC522354,225000.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.15,1952.0,1125.0,1125.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,Electric,ForcedAir,Electric,Public,PublicSewer,No,No,Frame,60.0,110.0,6534,0.15,1952
DENC518048,229900.0,19808,KLAIR ESTATES,Red Clay Consolidated,No,Detached,0.46,1959.0,2400.0,1800.0,600.0,3.0,2.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,Oil,HotWater,Electric,Public,PublicSewer,Yes,No,"Brick,Frame",60.0,200.4,20038,0.46,1959
DENC513006,239500.0,19808,KIRKWOOD GARDENS,Red Clay Consolidated,No,Detached,0.17,1957.0,1100.0,1100.0,0.0,3.0,2.0,1.0,One,Rancher,Main,No,WindowUnits,Oil,BaseboardHotWater,Oil,Public,PublicSewer,No,No,Other,65.0,108.0,7405,0.17,1957
DENC508044,225000.0,19808,EASTBURN HEIGHTS,Red Clay Consolidated,No,Detached,0.58,1937.0,1700.0,1700.0,0.0,3.0,2.0,1.0,Three,CapeCod,Main,Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"Brick,Frame,VinylSiding",100.0,259.8,25265,0.58,1937
DENC510684,225000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1984.0,2036.0,1700.0,336.0,2.0,3.0,3.0,Three,Traditional,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,Frame,16.0,125.0,2178,0.05,1984
DENC520348,239000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1984.0,1450.0,1450.0,0.0,2.0,2.0,2.0,Three,Other,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,Frame,16.0,142.5,2178,0.05,1984
DENC500064,255000.0,19808,CEDARCREST,Red Clay Consolidated,No,Detached,0.24,1964.0,2650.0,1650.0,1000.0,4.0,2.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,Brick,85.7,118.0,10454,0.24,1964
DENC517252,215000.0,19808,KLAIR ESTATES,Red Clay Consolidated,No,Detached,0.32,1956.0,2431.0,1825.0,606.0,3.0,2.0,2.0,TwoandaHalf,SplitLevel,"Lower1,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"Asbestos,Brick",75.0,170.0,13939,0.32,1956
DENC523606,234000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1985.0,1425.0,1425.0,0.0,2.0,3.0,2.0,Two,Contemporary,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,Other,16.0,125.0,2178,0.05,1985
DENC520338,239000.0,19808,PENN DREW MANOR,Red Clay Consolidated,No,Detached,0.23,1960.0,2198.0,1650.0,548.0,3.0,2.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,130.3,103.2,10019,0.23,1960
DENC523950,235000.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1987.0,1826.0,1476.0,350.0,2.0,3.0,2.0,Two,Contemporary,"Main,Upper1",Yes,CentralAC,Electric,Central,Electric,Public,PublicSewer,Yes,No,"Block,Brick",18.3,146.6,2614,0.06,1987
DENC518792,185000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.11,1983.0,3310.0,2500.0,810.0,3.0,3.0,3.0,TwoandaHalf,Colonial,"Main,Upper1,Upper2",Yes,CentralAC,Central,HeatPumps,Electric,Public,PublicSewer,Yes,No,"Brick,Frame",24.3,196.3,4791,0.11,1983
DENC518678,235000.0,19808,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.32,1950.0,1450.0,1450.0,0.0,3.0,1.0,1.0,One,Rancher,Main,No,None,Oil,90ForcedAir,Electric,Public,PublicSewer,Yes,Yes,Brick,0.0,0.0,13939,0.32,1950
DENC509076,235000.0,19808,HERITAGE PARK,Red Clay Consolidated,Yes,Detached,0.22,1961.0,1725.0,1725.0,0.0,4.0,2.0,1.0,One,Rancher,Main,Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,Asbestos,VinylSiding",60.1,141.5,9583,0.22,1961
DENC503958,250000.0,19808,ALBERTSON PARK,Red Clay Consolidated,No,Detached,0.17,1961.0,2080.0,1600.0,480.0,3.0,2.0,1.0,Two,Bilevel,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,90ForcedAir,Electric,Public,PublicSewer,Yes,Yes,VinylSiding,60.0,110.1,7405,0.17,1961
DENC517408,247900.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.04,1986.0,1600.0,1600.0,0.0,2.0,3.0,2.0,Three,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,"Electric,NaturalGas",HeatPumps,Electric,Public,PublicSewer,Yes,No,"Brick,VinylSiding",18.0,107.4,1742,0.04,1986
DENC505992,250000.0,19808,MONTCLARE,Red Clay Consolidated,No,Detached,0.19,1966.0,2493.0,1875.0,618.0,3.0,2.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,NaturalGas,90ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,"Asbestos,Brick",70.0,120.0,8276,0.19,1966
DENC517542,239900.0,19808,KLAIR ESTATES,Red Clay Consolidated,No,Detached,0.15,1959.0,2270.0,1700.0,570.0,3.0,2.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,Brick,62.8,105.0,6534,0.15,1959
DENC512400,265000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1986.0,2354.0,1850.0,504.0,2.0,3.0,2.0,Three,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,VinylSiding,16.0,162.0,2614,0.06,1986
DENC508204,235000.0,19808,MARSHALLTON,Red Clay Consolidated,No,Detached,0.18,1977.0,1125.0,1125.0,0.0,3.0,2.0,2.0,One,Rancher,"Lower1,Main",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,Stone",70.0,104.0,7841,0.18,1977
DENC502158,240000.0,19808,CAPITAL TR FMS,Red Clay Consolidated,No,Detached,0.14,1962.0,1425.0,1125.0,300.0,3.0,2.0,1.0,OneandaHalf,Rancher,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,50.0,125.0,6098,0.14,1962
DENC500764,229900.0,19808,SHERWOOD PARK II,Red Clay Consolidated,No,Detached,0.2,1959.0,2498.0,1875.0,623.0,4.0,2.0,2.0,Two,SplitLevel,"Lower1,Main,Upper1",Yes,"CeilingFans,CentralAC",Oil,HotWaterBaseboardElectric,Electric,Public,PublicSewer,Yes,Yes,"Brick,VinylSiding",70.0,124.1,8712,0.2,1959
DENC508476,234900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.07,1980.0,1825.0,1575.0,250.0,3.0,3.0,2.0,Three,Contemporary,"Lower1,Lower2,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",24.0,125.0,3049,0.07,1980
DENC523874,229900.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.24,1954.0,1500.0,1500.0,0.0,4.0,2.0,2.0,Two,CapeCod,"Main,Upper1",Yes,CentralAC,Oil,"BaseboardHotWater,HotWater",Oil,Public,PublicSewer,No,Yes,"AluminumSiding,Brick,VinylSiding",90.0,157.9,10454,0.24,1954
DENC517754,239900.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,No,Interior Row/Townhouse,0.05,1988.0,1834.0,1650.0,184.0,2.0,3.0,2.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,Brick,VinylSiding",18.0,115.0,2178,0.05,1988
DENC499872,249900.0,19808,DELPARK MANOR,Red Clay Consolidated,No,Detached,0.23,1958.0,1698.0,1425.0,273.0,3.0,2.0,1.0,Three,SplitLevel,"Main,Upper1,Upper2",No,"CeilingFans,WindowUnits",NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,Yes,"AluminumSiding,Brick,VinylSiding",70.0,145.3,10019,0.23,1958
DENC505060,249900.0,19808,VILLAGE OF LINDELL,Red Clay Consolidated,No,Detached,0.16,1985.0,1500.0,1500.0,0.0,3.0,2.0,2.0,One,Rancher,"Main,Upper1",Yes,CentralAC,Oil,"ForcedAir,HeatPumpElectricBackUp",Electric,Public,PublicSewer,No,No,VinylSiding,66.6,101.2,6970,0.16,1985
DENC523916,234900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1985.0,1900.0,1900.0,0.0,2.0,3.0,3.0,TwoandaHalf,Contemporary,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,Other,16.0,138.5,2178,0.05,1985
DENC523336,235000.0,19808,FAULKLAND HEIGHTS,Red Clay Consolidated,No,Detached,0.15,1960.0,1000.0,1000.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,"Brick,VinylSiding",60.0,110.0,6534,0.15,1960
DENC510198,245000.0,19808,LIMESTONE ACRES,Red Clay Consolidated,No,Detached,0.19,1961.0,1500.0,1500.0,0.0,3.0,2.0,1.0,One,Traditional,"Lower1,Main",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,Brick,70.0,120.0,8276,0.19,1961
DENC502980,260000.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1988.0,1475.0,1475.0,0.0,3.0,3.0,2.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",18.2,114.2,2178,0.05,1988
DENC500324,265000.0,19808,LIMESTONE HILLS WEST,Red Clay Consolidated,No,End of Row/Townhouse,0.17,1993.0,2030.0,1700.0,330.0,3.0,2.0,1.0,Three,Traditional,"Main,Upper1",Yes,CentralAC,NaturalGas,90ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,VinylSiding",92.4,131.0,7405,0.17,1993
DENC501922,235000.0,19808,BRANDYWINE SPRINGS,Red Clay Consolidated,No,Detached,0.18,1966.0,2295.0,1875.0,420.0,3.0,3.0,2.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,"Asbestos,Brick",70.0,110.0,7841,0.18,1966
DENC501074,247500.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,End of Row/Townhouse,0.17,1978.0,2631.0,1975.0,656.0,4.0,2.0,2.0,Three,Traditional,"Lower1,Lower2,Main",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",55.6,125.0,7405,0.17,1978
DENC502326,239999.0,19808,LIMESTONE GARDENS,Red Clay Consolidated,No,Detached,0.29,1956.0,2022.0,1450.0,572.0,3.0,2.0,1.0,Two,Other,Main,Yes,"CentralAC,HeatPumps",Oil,HotWater,"Electric,Oil","Filter,HoldingTank",StandardTrenchApproved,Yes,Yes,"Brick,Frame,VinylSiding",123.9,100.0,12632,0.29,1956
DENC524374,250000.0,19808,CRANSTON HEIGHTS,Red Clay Consolidated,No,Detached,0.17,1940.0,1400.0,1400.0,0.0,3.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,VinylSiding",50.0,150.0,7405,0.17,1940
