Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,Age,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,BathsFull,Design,Style,NumberofStories,Central_Air_YN,Cooling,PrimaryHeat,HeatDelivery,HotWater,Water,Sewer,Basement_YN,Garage_YN,ExteriorMaterial,LotFrontage,LotDepth,LotSqFt,LotAcres,YearBuilt
220000.0,19808,WOODMILL,Red Clay Consolidated,No,End of Row/Townhouse,0.08,1985.0,1350.0,1350.0,0.0,3.0,4.0,2.0,Two,"Colonial,Contemporary","Lower1,Lower2,Main,Upper1,Upper2",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSeptic,Yes,No,"Brick,VinylSiding",33.3,105.0,3485,0.08,1985
234900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1984.0,1450.0,1450.0,0.0,2.0,3.0,2.0,Three,Traditional,"Lower1,Main,Upper1",Yes,"CentralAC,HeatPumps",Electric,HeatPumps,NaturalGas,Public,PublicSewer,Yes,Yes,Frame,16.0,138.5,2178,0.05,1984
225000.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.15,1952.0,1250.0,1250.0,0.0,3.0,2.0,2.0,One,Rancher,Main,No,WindowUnits,Oil,ForcedAir,Electric,Public,PublicSewer,No,No,Frame,60.0,110.0,6534,0.15,1952
220000.0,19808,CAPITAL TR FMS,Red Clay Consolidated,No,Detached,0.2,1956.0,0.0,0.0,0.0,3.0,2.0,1.0,OneandaHalf,SplitLevel,"Lower1,Upper1",Yes,CentralAC,NaturalGas,90ForcedAir,NaturalGas,Public,PrivateSewer,Yes,No,Brick,60.0,119.8,8712,0.2,1956
225000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.08,1979.0,2583.0,1575.0,1008.0,3.0,2.0,2.0,Three,Traditional,"Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Other,Public,PublicSeptic,Yes,No,"Brick,WoodSiding",24.1,145.4,3485,0.08,1979
225000.0,19808,LIMESTONE ACRES,Red Clay Consolidated,No,Detached,0.24,1954.0,1625.0,1625.0,0.0,4.0,2.0,2.0,Two,CapeCod,"Lower1,Main",No,None,Oil,HotWater,Electric,Public,PublicSewer,Yes,Yes,"Brick,Frame",75.0,140.0,10454,0.24,1954
239000.0,19808,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.07,1900.0,1550.0,1550.0,0.0,3.0,2.0,2.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HotWater,Electric,Public,PublicSewer,Yes,No,Stucco,180.0,80.0,3049,0.07,1900
224900.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.14,1954.0,1075.0,1075.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,No,No,"Brick,VinylSiding",60.0,110.0,6098,0.14,1954
225000.0,19808,BERKSHIRE LIMESTON,Red Clay Consolidated,Yes,End of Row/Townhouse,0.0,1993.0,0.0,0.0,0.0,2.0,2.0,2.0,Three,"Contemporary,Loft","Main,Upper1,Upper2",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,Yes,"AluminumSiding,Brick,MixedPlumbing,VinylSiding",0.0,0.0,0,0.0,1993
239900.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.16,1954.0,1075.0,1075.0,0.0,3.0,1.0,1.0,One,Rancher,"Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,No,No,"Asphalt,Frame,VinylSiding",60.0,120.0,6970,0.16,1954
225000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1984.0,1450.0,1450.0,0.0,2.0,3.0,2.0,Three,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,Frame,16.0,144.6,2178,0.05,1984
238000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,No,Interior Row/Townhouse,0.07,1979.0,1550.0,1550.0,0.0,3.0,2.0,1.0,Two,Traditional,Main,Yes,CentralAC,Electric,Central,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,Brick,VinylSiding",24.0,125.0,3049,0.07,1979
229000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,End of Row/Townhouse,0.12,1986.0,1825.0,1825.0,0.0,2.0,3.0,2.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,Stucco,26.1,150.3,5227,0.12,1986
219900.0,19808,CAPITAL TR FMS,Red Clay Consolidated,No,Detached,0.11,1940.0,1450.0,1450.0,0.0,3.0,2.0,2.0,Two,Colonial,"Main,Upper1",No,"MultiUnits,WholeHouseFan","Electric,NaturalGas",HotWater,NaturalGas,Public,PublicSeptic,Yes,Yes,"AluminumSiding,VinylSiding",49.1,94.0,4791,0.11,1940
214900.0,19808,WOODMILL,Red Clay Consolidated,No,End of Row/Townhouse,0.08,1985.0,1400.0,1400.0,0.0,3.0,3.0,2.0,Two,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",33.3,107.1,3485,0.08,1985
224900.0,19808,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.17,1950.0,1075.0,1075.0,0.0,3.0,1.0,1.0,One,RaisedRanch,Main,Yes,CentralAC,Electric,ForcedAir,Electric,Public,PublicSewer,No,No,Concrete,79.5,107.0,7405,0.17,1950
230000.0,19808,KIRKWOOD GARDENS,Red Clay Consolidated,No,Detached,0.15,1957.0,925.0,925.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,No,No,"AluminumSiding,VinylSiding",60.0,110.0,6534,0.15,1957
235000.0,19808,FAULKLAND HEIGHTS,Red Clay Consolidated,No,Detached,0.15,1960.0,1025.0,1025.0,0.0,3.0,2.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,NaturalGas,Central,NaturalGas,Public,PublicSewer,Yes,Yes,"Asbestos,Brick,VinylSiding",60.0,110.0,6534,0.15,1960
224900.0,19808,WOODMILL,Red Clay Consolidated,No,End of Row/Townhouse,0.13,1984.0,1325.0,1325.0,0.0,3.0,3.0,2.0,Two,Other,Main,Yes,CentralAC,Electric,"Central,ForcedAir",Electric,Public,PublicSewer,Yes,No,"AluminumSiding,VinylSiding",76.1,129.8,5663,0.13,1984
225000.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.15,1952.0,1125.0,1125.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,Electric,ForcedAir,Electric,Public,PublicSewer,No,No,Frame,60.0,110.0,6534,0.15,1952
229900.0,19808,KLAIR ESTATES,Red Clay Consolidated,No,Detached,0.46,1959.0,2400.0,1800.0,600.0,3.0,2.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,Oil,HotWater,Electric,Public,PublicSewer,Yes,No,"Brick,Frame",60.0,200.4,20038,0.46,1959
239500.0,19808,KIRKWOOD GARDENS,Red Clay Consolidated,No,Detached,0.17,1957.0,1100.0,1100.0,0.0,3.0,2.0,1.0,One,Rancher,Main,No,WindowUnits,Oil,BaseboardHotWater,Oil,Public,PublicSewer,No,No,Other,65.0,108.0,7405,0.17,1957
225000.0,19808,EASTBURN HEIGHTS,Red Clay Consolidated,No,Detached,0.58,1937.0,1700.0,1700.0,0.0,3.0,2.0,1.0,Three,CapeCod,Main,Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"Brick,Frame,VinylSiding",100.0,259.8,25265,0.58,1937
225000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1984.0,2036.0,1700.0,336.0,2.0,3.0,3.0,Three,Traditional,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,Frame,16.0,125.0,2178,0.05,1984
239000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1984.0,1450.0,1450.0,0.0,2.0,2.0,2.0,Three,Other,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,Frame,16.0,142.5,2178,0.05,1984
255000.0,19808,CEDARCREST,Red Clay Consolidated,No,Detached,0.24,1964.0,2650.0,1650.0,1000.0,4.0,2.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,Brick,85.7,118.0,10454,0.24,1964
215000.0,19808,KLAIR ESTATES,Red Clay Consolidated,No,Detached,0.32,1956.0,2431.0,1825.0,606.0,3.0,2.0,2.0,TwoandaHalf,SplitLevel,"Lower1,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"Asbestos,Brick",75.0,170.0,13939,0.32,1956
234000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1985.0,1425.0,1425.0,0.0,2.0,3.0,2.0,Two,Contemporary,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,Other,16.0,125.0,2178,0.05,1985
239000.0,19808,PENN DREW MANOR,Red Clay Consolidated,No,Detached,0.23,1960.0,2198.0,1650.0,548.0,3.0,2.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,130.3,103.2,10019,0.23,1960
235000.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1987.0,1826.0,1476.0,350.0,2.0,3.0,2.0,Two,Contemporary,"Main,Upper1",Yes,CentralAC,Electric,Central,Electric,Public,PublicSewer,Yes,No,"Block,Brick",18.3,146.6,2614,0.06,1987
185000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.11,1983.0,3310.0,2500.0,810.0,3.0,3.0,3.0,TwoandaHalf,Colonial,"Main,Upper1,Upper2",Yes,CentralAC,Central,HeatPumps,Electric,Public,PublicSewer,Yes,No,"Brick,Frame",24.3,196.3,4791,0.11,1983
235000.0,19808,NONE AVAILABLE,Red Clay Consolidated,No,Detached,0.32,1950.0,1450.0,1450.0,0.0,3.0,1.0,1.0,One,Rancher,Main,No,None,Oil,90ForcedAir,Electric,Public,PublicSewer,Yes,Yes,Brick,0.0,0.0,13939,0.32,1950
235000.0,19808,HERITAGE PARK,Red Clay Consolidated,Yes,Detached,0.22,1961.0,1725.0,1725.0,0.0,4.0,2.0,1.0,One,Rancher,Main,Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,Asbestos,VinylSiding",60.1,141.5,9583,0.22,1961
250000.0,19808,ALBERTSON PARK,Red Clay Consolidated,No,Detached,0.17,1961.0,2080.0,1600.0,480.0,3.0,2.0,1.0,Two,Bilevel,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,90ForcedAir,Electric,Public,PublicSewer,Yes,Yes,VinylSiding,60.0,110.1,7405,0.17,1961
247900.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.04,1986.0,1600.0,1600.0,0.0,2.0,3.0,2.0,Three,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,"Electric,NaturalGas",HeatPumps,Electric,Public,PublicSewer,Yes,No,"Brick,VinylSiding",18.0,107.4,1742,0.04,1986
250000.0,19808,MONTCLARE,Red Clay Consolidated,No,Detached,0.19,1966.0,2493.0,1875.0,618.0,3.0,2.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,NaturalGas,90ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,"Asbestos,Brick",70.0,120.0,8276,0.19,1966
239900.0,19808,KLAIR ESTATES,Red Clay Consolidated,No,Detached,0.15,1959.0,2270.0,1700.0,570.0,3.0,2.0,1.0,One,Rancher,"Lower1,Main",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,Brick,62.8,105.0,6534,0.15,1959
265000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1986.0,2354.0,1850.0,504.0,2.0,3.0,2.0,Three,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,VinylSiding,16.0,162.0,2614,0.06,1986
235000.0,19808,MARSHALLTON,Red Clay Consolidated,No,Detached,0.18,1977.0,1125.0,1125.0,0.0,3.0,2.0,2.0,One,Rancher,"Lower1,Main",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,Stone",70.0,104.0,7841,0.18,1977
240000.0,19808,CAPITAL TR FMS,Red Clay Consolidated,No,Detached,0.14,1962.0,1425.0,1125.0,300.0,3.0,2.0,1.0,OneandaHalf,Rancher,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,50.0,125.0,6098,0.14,1962
229900.0,19808,SHERWOOD PARK II,Red Clay Consolidated,No,Detached,0.2,1959.0,2498.0,1875.0,623.0,4.0,2.0,2.0,Two,SplitLevel,"Lower1,Main,Upper1",Yes,"CeilingFans,CentralAC",Oil,HotWaterBaseboardElectric,Electric,Public,PublicSewer,Yes,Yes,"Brick,VinylSiding",70.0,124.1,8712,0.2,1959
234900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.07,1980.0,1825.0,1575.0,250.0,3.0,3.0,2.0,Three,Contemporary,"Lower1,Lower2,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",24.0,125.0,3049,0.07,1980
229900.0,19808,DUNLINDEN ACRES,Red Clay Consolidated,No,Detached,0.24,1954.0,1500.0,1500.0,0.0,4.0,2.0,2.0,Two,CapeCod,"Main,Upper1",Yes,CentralAC,Oil,"BaseboardHotWater,HotWater",Oil,Public,PublicSewer,No,Yes,"AluminumSiding,Brick,VinylSiding",90.0,157.9,10454,0.24,1954
239900.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,No,Interior Row/Townhouse,0.05,1988.0,1834.0,1650.0,184.0,2.0,3.0,2.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,Brick,VinylSiding",18.0,115.0,2178,0.05,1988
249900.0,19808,DELPARK MANOR,Red Clay Consolidated,No,Detached,0.23,1958.0,1698.0,1425.0,273.0,3.0,2.0,1.0,Three,SplitLevel,"Main,Upper1,Upper2",No,"CeilingFans,WindowUnits",NaturalGas,HotWater,NaturalGas,Public,PublicSewer,Yes,Yes,"AluminumSiding,Brick,VinylSiding",70.0,145.3,10019,0.23,1958
249900.0,19808,VILLAGE OF LINDELL,Red Clay Consolidated,No,Detached,0.16,1985.0,1500.0,1500.0,0.0,3.0,2.0,2.0,One,Rancher,"Main,Upper1",Yes,CentralAC,Oil,"ForcedAir,HeatPumpElectricBackUp",Electric,Public,PublicSewer,No,No,VinylSiding,66.6,101.2,6970,0.16,1985
234900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1985.0,1900.0,1900.0,0.0,2.0,3.0,3.0,TwoandaHalf,Contemporary,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,Other,16.0,138.5,2178,0.05,1985
235000.0,19808,FAULKLAND HEIGHTS,Red Clay Consolidated,No,Detached,0.15,1960.0,1000.0,1000.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,"Brick,VinylSiding",60.0,110.0,6534,0.15,1960
245000.0,19808,LIMESTONE ACRES,Red Clay Consolidated,No,Detached,0.19,1961.0,1500.0,1500.0,0.0,3.0,2.0,1.0,One,Traditional,"Lower1,Main",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,Brick,70.0,120.0,8276,0.19,1961
260000.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1988.0,1475.0,1475.0,0.0,3.0,3.0,2.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",18.2,114.2,2178,0.05,1988
265000.0,19808,LIMESTONE HILLS WEST,Red Clay Consolidated,No,End of Row/Townhouse,0.17,1993.0,2030.0,1700.0,330.0,3.0,2.0,1.0,Three,Traditional,"Main,Upper1",Yes,CentralAC,NaturalGas,90ForcedAir,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,VinylSiding",92.4,131.0,7405,0.17,1993
235000.0,19808,BRANDYWINE SPRINGS,Red Clay Consolidated,No,Detached,0.18,1966.0,2295.0,1875.0,420.0,3.0,3.0,2.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,"Asbestos,Brick",70.0,110.0,7841,0.18,1966
247500.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,End of Row/Townhouse,0.17,1978.0,2631.0,1975.0,656.0,4.0,2.0,2.0,Three,Traditional,"Lower1,Lower2,Main",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",55.6,125.0,7405,0.17,1978
239999.0,19808,LIMESTONE GARDENS,Red Clay Consolidated,No,Detached,0.29,1956.0,2022.0,1450.0,572.0,3.0,2.0,1.0,Two,Other,Main,Yes,"CentralAC,HeatPumps",Oil,HotWater,"Electric,Oil","Filter,HoldingTank",StandardTrenchApproved,Yes,Yes,"Brick,Frame,VinylSiding",123.9,100.0,12632,0.29,1956
250000.0,19808,CRANSTON HEIGHTS,Red Clay Consolidated,No,Detached,0.17,1940.0,1400.0,1400.0,0.0,3.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,VinylSiding",50.0,150.0,7405,0.17,1940
235000.0,19808,FAIRWAY FALLS,Red Clay Consolidated,No,Interior Row/Townhouse,0.07,1978.0,1475.0,1475.0,0.0,3.0,2.0,1.0,Three,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",24.0,125.0,3049,0.07,1978
265900.0,19808,STONEY BATTER,Red Clay Consolidated,Yes,Unit/Flat/Apartment,0.0,1987.0,0.0,0.0,0.0,2.0,2.0,2.0,One,Traditional,Main,Yes,CentralAC,Electric,HeatPumpElectricBackUp,Electric,Public,PublicSewer,No,No,"Brick,Frame",0.0,0.0,0,0.0,1987
250000.0,19808,WEATHERHILL FARMS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.06,1988.0,1450.0,1450.0,0.0,2.0,3.0,2.0,Two,Colonial,"Main,Upper1",No,HeatPumps,Electric,HeatPumpElectricBackUp,Electric,Public,PublicSewer,Yes,No,"Brick,VinylSiding",18.2,134.9,2614,0.06,1988
