MLSNumber,Address,Status,Sold_Price,Sold_Price_less_Concession,Orig_List_Price,Current_List_Price,Days_on_Market,Previous_Days_on_Market,ListDate,StatusDate,Agreement_of_Sale_Date,SettledDate,Concessions_YN,Concessions_Remarks,SellerConcessionsAmount,FinalFinancing
DENC505216,424 Centerville Rd,Closed,205900.0,199723.0,205900.0,205900.0,7.0,7.0,2020-07-15,2020-09-14,2020-07-21,2020-09-10,Yes,,6177.0,Conventional
DENC500680,3420 Cranston Ave,Closed,208000.0,201640.0,211900.0,211900.0,8.0,8.0,2020-05-05,2020-07-24,2020-05-10,2020-07-24,Yes,,6360.0,FHA
DENC521992,3 Carolina Ct,Closed,208700.0,208700.0,200000.0,200000.0,6.0,6.0,2021-03-10,2021-04-20,2021-03-14,2021-04-20,No,,0.0,FHA
DENC523212,3411 Haley Ct,Closed,209901.0,208901.0,197900.0,197900.0,7.0,7.0,2021-03-26,2021-05-20,2021-03-31,2021-05-20,Yes,,1000.0,Conventional
DENC512816,4940 Mermaid Blvd,Closed,210000.0,205000.0,224900.0,214900.0,44.0,44.0,2020-11-09,2021-02-12,2021-01-07,2021-02-12,Yes,,5000.0,Conventional
DENC510414,1108 Braken Ave,Closed,210000.0,210000.0,214900.0,214900.0,28.0,392.0,2020-10-01,2020-11-23,2020-10-27,2020-11-20,No,,0.0,Cash
DENC517606,5099 W Woodmill Dr,Closed,210700.0,210700.0,210000.0,210000.0,12.0,12.0,2020-12-03,2021-02-15,2020-12-14,2021-02-15,No,,0.0,FHA
DENC508042,4936 Tupelo Turn,Closed,215000.0,215000.0,224900.0,219900.0,64.0,64.0,2020-08-30,2020-12-28,2020-11-02,2020-12-23,No,,0.0,FHA
DENC500644,5059 E Woodmill Dr,Closed,215000.0,212000.0,214900.0,214900.0,4.0,4.0,2020-05-05,2020-07-24,2020-05-08,2020-07-24,Yes,,3000.0,Conventional
DENC522324,5018 E Woodmill Dr,Closed,217500.0,217500.0,210000.0,210000.0,7.0,7.0,2021-03-17,2021-04-29,2021-03-22,2021-04-29,No,,0.0,Conventional
DENC519198,4976 Mermaid Blvd,Closed,218000.0,218000.0,212900.0,212900.0,3.0,3.0,2021-01-11,2021-02-19,2021-01-13,2021-02-19,No,,0.0,FHA
DENC507636,5417 Jenmatt Dr,Closed,219000.0,219000.0,219000.0,219000.0,4.0,4.0,2020-08-21,2020-10-09,2020-08-24,2020-10-09,No,,0.0,FHA
DENC509542,5409 Jenmatt Dr,Closed,219500.0,219500.0,210000.0,210000.0,3.0,3.0,2020-10-01,2020-11-13,2020-10-02,2020-11-12,No,,0.0,FHA
DENC505724,3010 Charing Cross,Closed,219900.0,217900.0,219900.0,219900.0,26.0,26.0,2020-07-23,2020-09-29,2020-08-16,2020-09-29,Yes,,2000.0,Conventional
DENC505084,2004 Louisa Ave,Closed,219900.0,213303.0,219900.0,219900.0,29.0,29.0,2020-07-14,2020-10-22,2020-08-09,2020-10-16,Yes,,6597.0,Conventional
DENC523372,5026 N Tupelo Turn,Closed,220000.0,220000.0,209900.0,209900.0,6.0,6.0,2021-03-30,2021-05-05,2021-04-02,2021-05-05,No,,0.0,Conventional
DENC520810,11 Kristina Ct,Closed,220000.0,220000.0,220000.0,220000.0,7.0,7.0,2021-02-09,2021-03-24,2021-02-15,2021-03-24,No,,0.0,Conventional
DENC509390,1902 Lincoln Ave.,Closed,221000.0,221000.0,209900.0,209900.0,5.0,5.0,2020-09-17,2020-11-12,2020-09-21,2020-11-12,No,,0.0,FHA
DENC499486,1118 Braken Ave,Closed,223000.0,221800.0,230000.0,230000.0,13.0,13.0,2020-04-09,2020-06-08,2020-04-20,2020-06-05,Yes,,1200.0,Conventional
DENC511264,3221 Brookline Rd,Closed,224900.0,224900.0,234900.0,224900.0,12.0,12.0,2020-10-11,2020-11-30,2020-10-25,2020-11-30,No,,0.0,FHA
DENC502798,1114 Braken Ave,Closed,224900.0,216400.0,229900.0,224900.0,31.0,31.0,2020-06-12,2020-09-15,2020-07-12,2020-09-15,Yes,,8500.0,FHA
DENC521912,2309 Katherine Ave,Closed,225000.0,225000.0,225000.0,225000.0,6.0,6.0,2021-03-06,2021-04-22,2021-03-11,2021-04-22,No,,0.0,Conventional
DENC507666,1223 Gilbert Ave,Closed,225000.0,225000.0,220000.0,220000.0,11.0,11.0,2020-08-21,2020-10-12,2020-08-31,2020-10-09,No,,0.0,FHA
DENC503534,5405 Doral Dr,Closed,225000.0,219000.0,225000.0,225000.0,4.0,4.0,2020-06-19,2020-08-10,2020-06-22,2020-08-10,Yes,,6000.0,FHA
DENC501980,4613 Springers Ln,Closed,225000.0,225000.0,225000.0,225000.0,2.0,2.0,2020-05-26,2020-07-24,2020-05-27,2020-07-24,No,,0.0,FHA203k
DENC501462,2006 Duncan Rd,Closed,225000.0,219000.0,239000.0,229000.0,38.0,38.0,2020-05-18,2020-08-14,2020-07-01,2020-08-13,Yes,,6000.0,FHA
DENC507686,3818 Evelyn Dr,Closed,226000.0,226000.0,224900.0,225000.0,11.0,11.0,2020-08-21,2020-10-27,2020-09-11,2020-10-23,No,,0.0,FHA
DENC508130,1522 Braken Ave,Closed,227000.0,227000.0,225000.0,225000.0,27.0,27.0,2020-09-03,2020-10-27,2020-09-26,2020-10-27,No,,0.0,Cash
DENC507822,3813 Evelyn Dr,Closed,227500.0,224500.0,239900.0,234900.0,46.0,46.0,2020-09-12,2021-02-11,2021-01-05,2021-02-11,Yes,,3000.0,Conventional
DENC520716,3235 Brookline Rd,Closed,228000.0,228000.0,225000.0,225000.0,3.0,3.0,2021-02-14,2021-03-16,2021-02-16,2021-03-16,No,,0.0,Cash
DENC512480,3419 Pebble Beach Dr,Closed,228000.0,223440.0,238000.0,228000.0,20.0,20.0,2020-11-16,2021-01-07,2020-12-04,2021-01-07,Yes,,4560.0,FHA
DENC497602,4917 Hogan Dr,Closed,228000.0,228000.0,244900.0,229900.0,83.0,83.0,2020-03-10,2020-06-30,2020-05-30,2020-06-29,No,,0.0,Conventional
DENC511338,3214 Champions Dr,Closed,229000.0,228550.0,229000.0,229000.0,0.0,0.0,2020-11-02,2020-11-04,2020-09-22,2020-11-02,Yes,,450.0,FHA
DENC510466,1009 Highland Ave,Closed,229900.0,227400.0,219900.0,229900.0,7.0,7.0,2020-10-02,2020-11-13,2020-10-08,2020-11-13,Yes,,2500.0,FHA
DENC524506,10 Kristina Ct,Closed,230000.0,226750.0,214900.0,214900.0,5.0,5.0,2021-04-16,2021-05-12,2021-04-20,2021-05-11,Yes,,3250.0,Cash
DENC523362,2406 Duncan Rd,Closed,230000.0,230000.0,224900.0,224900.0,4.0,4.0,2021-03-29,2021-04-30,2021-03-31,2021-04-30,No,,0.0,FHA
DENC521672,2411 Hammond Pl,Closed,230000.0,220000.0,230000.0,230000.0,1.0,1.0,2021-02-27,2021-04-23,2021-03-02,2021-04-23,Yes,,10000.0,Conventional
DENC509908,2218 Alister Dr,Closed,230000.0,220000.0,235000.0,235000.0,7.0,7.0,2020-09-23,2020-11-25,2020-09-30,2020-11-20,Yes,,10000.0,FHA
DENC520624,22 Ingrid Ct,Closed,230250.0,230250.0,224900.0,230250.0,6.0,6.0,2021-02-11,2021-04-04,2021-02-16,2021-03-31,No,,0.0,Conventional
DENC522354,2317 Katherine Ave,Closed,230500.0,230500.0,225000.0,225000.0,5.0,5.0,2021-03-16,2021-05-01,2021-03-20,2021-04-30,No,,0.0,Conventional
DENC518048,4401 Sandy Dr,Closed,231000.0,231000.0,229900.0,231000.0,5.0,5.0,2020-12-11,2021-01-17,2020-12-15,2021-01-15,No,,0.0,Conventional
DENC513006,2408 Owen Dr,Closed,231500.0,222500.0,239500.0,224500.0,45.0,45.0,2020-11-15,2021-02-15,2020-12-29,2021-02-22,Yes,,9000.0,FHA
DENC508044,5901 Old Capitol Trl,Closed,231500.0,224555.0,225000.0,225000.0,3.0,3.0,2020-08-27,2020-11-04,2020-08-30,2020-10-30,Yes,,6945.0,FHA
DENC510684,3228 Brookline Rd,Closed,232000.0,232000.0,225000.0,234900.0,2.0,2.0,2020-10-07,2020-11-20,2020-10-08,2020-11-20,No,,0.0,Conventional
DENC520348,3205 Brookline Rd,Closed,232500.0,226500.0,239000.0,233900.0,12.0,12.0,2021-02-02,2021-03-31,2021-02-12,2021-03-31,Yes,,6000.0,Conventional
DENC500064,2425 E Parris Dr,Closed,232500.0,232500.0,255000.0,255000.0,24.0,24.0,2020-04-25,2020-07-30,2020-05-28,2020-07-17,No,,0.0,Cash
DENC498974,2210 Alister Dr,Closed,232500.0,224000.0,230000.0,230000.0,22.0,22.0,2020-03-30,2020-06-22,2020-04-18,2020-06-04,Yes,Credit,8500.0,FHA
DENC517252,4520 Hendry Ave,Closed,233000.0,232467.0,215000.0,215000.0,4.0,4.0,2020-11-28,2021-01-27,2020-12-01,2021-01-27,Yes,,533.0,Conventional
DENC523606,3253 Champions Dr,Closed,234000.0,234000.0,234000.0,234000.0,6.0,6.0,2021-04-22,2021-05-28,2021-04-26,2021-05-28,No,,0.0,Conventional
DENC522204,6 Sandybrae Ct,Closed,234000.0,234000.0,239900.0,239900.0,20.0,20.0,2021-03-24,2021-05-20,2021-04-12,2021-05-19,No,,0.0,Conventional
DENC520338,4 Penndrew Ct,Closed,234000.0,229000.0,239000.0,234000.0,7.0,7.0,2021-02-03,2021-03-25,2021-02-09,2021-03-25,Yes,,5000.0,Conventional
DENC523950,4809 Weatherhill Dr,Closed,235000.0,235000.0,235000.0,235000.0,1.0,1.0,2021-04-02,2021-05-06,2021-04-03,2021-05-06,No,,0.0,Cash
DENC518792,5545 Doral Dr,Closed,235000.0,235000.0,185000.0,185000.0,5.0,5.0,2021-01-04,2021-01-28,2021-01-08,2021-01-27,No,,0.0,Cash
DENC518678,6018 Old Capitol Trl,Closed,235000.0,230300.0,235000.0,235000.0,3.0,3.0,2020-12-30,2021-02-12,2021-01-01,2021-02-12,Yes,,4700.0,Conventional
DENC509076,2644 Drayton Dr,Closed,235000.0,235000.0,235000.0,235000.0,1.0,1.0,2020-09-14,2020-11-13,2020-09-14,2020-11-12,No,,0.0,Conventional
DENC503958,2125 Elder Dr,Closed,236000.0,228920.0,250000.0,250000.0,12.0,12.0,2020-06-30,2020-08-28,2020-07-13,2020-08-24,Yes,,7080.0,FHA
DENC501174,3828 Katherine Ave,Closed,236000.0,236000.0,234900.0,234900.0,17.0,17.0,2020-05-13,2020-07-06,2020-05-29,2020-07-06,No,,0.0,Cash
DENC517408,4752 Weatherhill Dr,Closed,237500.0,237500.0,247900.0,247900.0,7.0,7.0,2020-11-29,2021-01-14,2020-12-06,2021-01-14,No,,0.0,Conventional
DENC505992,2619 Salem Dr,Closed,239900.0,239900.0,250000.0,239900.0,14.0,14.0,2020-07-27,2020-09-25,2020-08-08,2020-09-24,No,,0.0,FHA
DENC502848,4950 S Raintree Ct,Closed,239900.0,239900.0,239900.0,239900.0,4.0,4.0,2020-06-09,2020-07-24,2020-06-11,2020-07-24,No,,0.0,Conventional
DENC517542,4432 Sandy Dr,Closed,240000.0,240000.0,239900.0,239900.0,3.0,3.0,2020-12-03,2021-01-13,2020-12-05,2021-01-12,No,,0.0,FHA
DENC512400,3225 Champions Dr,Closed,240000.0,240000.0,265000.0,259900.0,15.0,15.0,2020-11-02,2021-01-04,2020-11-17,2020-12-30,No,,0.0,Conventional
DENC508204,1111 Highland Ave,Closed,240000.0,240000.0,235000.0,235000.0,3.0,3.0,2020-08-31,2020-10-02,2020-09-02,2020-10-02,No,,0.0,Conventional
DENC502158,1212 Lorrain Ave,Closed,240000.0,240000.0,240000.0,240000.0,3.0,3.0,2020-05-28,2020-07-30,2020-05-30,2020-07-30,No,,0.0,Conventional
DENC500764,2721 Westlock Dr,Closed,240000.0,240000.0,229900.0,229900.0,6.0,6.0,2020-05-07,2020-07-02,2020-05-11,2020-06-30,No,,0.0,Cash
DENC508476,3424 Pebble Beach Dr,Closed,240500.0,240500.0,234900.0,240900.0,7.0,7.0,2020-09-04,2020-10-16,2020-09-09,2020-10-16,No,,0.0,Conventional
DENC523874,3815 Hutchison Rd,Closed,241000.0,241000.0,229900.0,245900.0,5.0,5.0,2021-04-06,2021-05-27,2021-04-09,2021-05-26,No,,0.0,Conventional
DENC517754,4864 Weatherhill Dr,Closed,241000.0,241000.0,239900.0,239900.0,3.0,3.0,2020-12-07,2021-02-23,2020-12-08,2021-02-23,No,,0.0,Cash
DENC499872,4708 Old Capitol Trl,Closed,242000.0,232000.0,249900.0,235000.0,37.0,37.0,2020-04-18,2020-06-30,2020-05-23,2020-06-29,Yes,,10000.0,FHA
DENC505060,2218 Saint Francis St,Closed,243000.0,243000.0,249900.0,244900.0,13.0,13.0,2020-07-14,2020-09-04,2020-08-03,2020-08-31,No,,0.0,Cash
DENC523916,3240 Champions Dr,Closed,245000.0,245000.0,234900.0,234900.0,2.0,2.0,2021-04-06,2021-05-13,2021-04-07,2021-05-13,No,,0.0,Conventional
DENC523336,2408 Faulkland Rd,Closed,245000.0,245000.0,235000.0,245000.0,6.0,6.0,2021-04-01,2021-05-21,2021-04-06,2021-05-21,No,,0.0,Conventional
DENC510198,4622 Muggleton Rd,Closed,245000.0,240300.0,245000.0,245000.0,6.0,6.0,2020-10-01,2020-12-08,2020-10-06,2020-12-07,Yes,Seller Credit,4700.0,FHA
DENC502980,4720 Weatherhill Dr,Closed,245000.0,245000.0,260000.0,254000.0,24.0,24.0,2020-06-12,2020-08-18,2020-07-17,2020-08-17,No,,0.0,Conventional
DENC500324,152 Steven Ln,Closed,245925.0,241006.0,265000.0,250000.0,75.0,75.0,2020-04-29,2020-08-18,2020-07-12,2020-08-17,Yes,,4919.0,Conventional
DENC501922,2853 E Oakland Dr,Closed,247000.0,244525.0,235000.0,235000.0,3.0,3.0,2020-05-26,2020-07-01,2020-05-28,2020-06-30,Yes,Settlement help,2475.0,Conventional
DENC501074,3412 Pebble Beach Dr,Closed,247500.0,239500.0,247500.0,247500.0,23.0,23.0,2020-05-11,2020-07-06,2020-06-02,2020-06-30,Yes,Closing Costs,8000.0,FHA
DENC502326,2395 Nicholby Dr,Closed,248000.0,240560.0,239999.0,239999.0,4.0,4.0,2020-06-01,2020-09-02,2020-06-04,2020-09-01,Yes,,7440.0,FHA
DENC524374,1809 Marshall Ave,Closed,250000.0,241000.0,250000.0,250000.0,0.0,0.0,2021-04-15,2021-05-21,2021-04-15,2021-05-14,Yes,,9000.0,FHA
DENC521594,3406 Pebble Beach Dr,Closed,250000.0,250000.0,235000.0,252000.0,4.0,4.0,2021-03-01,2021-04-15,2021-03-05,2021-04-08,No,,0.0,Conventional
DENC518582,3201-Unit Falcon Ln,Closed,250000.0,250000.0,265900.0,265900.0,1.0,1.0,2021-02-01,2021-02-03,2021-02-01,2021-02-01,No,,0.0,Cash
DENC518650,4728 Weatherhill Dr,Closed,250000.0,250000.0,250000.0,250000.0,8.0,8.0,2020-12-29,2021-02-19,2021-01-04,2021-02-19,No,,0.0,Conventional
DENC512722,2721 Bardell Dr,Closed,250000.0,250000.0,188000.0,188000.0,11.0,11.0,2020-11-07,2021-03-18,2020-11-18,2021-03-05,No,,0.0,FHA
DENC512084,3712 Wild Cherry Ln,Closed,250000.0,250000.0,274900.0,250000.0,35.0,35.0,2020-10-31,2021-01-12,2020-11-30,2021-01-08,No,,0.0,Conventional
DENC511666,2410 Tapley Ln,Closed,250000.0,250000.0,240000.0,250000.0,1.0,1.0,2020-10-20,2021-05-17,2021-04-06,2021-05-17,No,,0.0,Cash
DENC511004,32 Whitehall Cir,Closed,250000.0,246250.0,250000.0,250000.0,3.0,3.0,2020-10-10,2020-11-30,2020-10-13,2020-11-25,Yes,,3750.0,Conventional
DENC501862,2676 Whitman Dr,Closed,250000.0,240000.0,250000.0,250000.0,1.0,1.0,2020-05-26,2020-07-10,2020-05-26,2020-07-10,Yes,Settlement Help,10000.0,FHA
DENC498786,4747 Weatherhill Dr,Closed,250000.0,248000.0,239999.0,249900.0,12.0,12.0,2020-03-30,2020-06-03,2020-04-10,2020-06-01,Yes,,2000.0,Conventional
DENC517190,2621 Skylark Rd,Closed,251000.0,251000.0,279900.0,279900.0,8.0,8.0,2020-11-23,2020-12-07,2020-11-29,2020-12-04,No,,0.0,Cash
DENC512534,4771 Weatherhill Dr,Closed,252500.0,252500.0,249900.0,249900.0,5.0,5.0,2020-11-04,2021-01-13,2020-11-08,2021-01-08,No,,0.0,Conventional
DENC509920,2727 Newell Dr,Closed,253000.0,253000.0,255000.0,255000.0,7.0,7.0,2020-09-24,2020-11-17,2020-09-29,2020-11-16,No,,0.0,Conventional
DENC511208,1603 London Ave,Closed,255000.0,255000.0,239900.0,255000.0,12.0,12.0,2020-10-13,2020-12-17,2020-11-04,2020-12-16,No,,0.0,FHA
DENC509770,2426 E Eric Dr,Closed,255000.0,255000.0,249000.0,249000.0,6.0,6.0,2020-10-02,2020-11-17,2020-10-05,2020-11-17,No,,0.0,Conventional
DENC505268,2616 Dean Dr,Closed,255000.0,255000.0,249900.0,249900.0,5.0,5.0,2020-07-16,2020-09-04,2020-07-19,2020-08-31,No,,0.0,Conventional
DENC504370,2207 E Huntington Dr,Closed,255000.0,247350.0,255000.0,255000.0,9.0,9.0,2020-07-08,2020-09-09,2020-07-11,2020-08-31,Yes,,7650.0,FHA
DENC504172,2410 Owen Dr,Closed,255000.0,249000.0,265000.0,255000.0,44.0,44.0,2020-07-03,2020-10-01,2020-08-15,2020-09-29,Yes,,6000.0,FHA
DENC518736,1317 Chalet Dr,Closed,257000.0,257000.0,249900.0,249900.0,7.0,7.0,2020-12-31,2021-03-26,2021-01-21,2021-03-18,No,,0.0,Conventional
DENC502990,2419 Hartley Pl,Closed,258000.0,253000.0,274900.0,258000.0,33.0,33.0,2020-06-11,2020-08-20,2020-07-13,2020-08-20,Yes,Credit,5000.0,Conventional
DENC520832,2450 W Eric Dr,Closed,259900.0,259900.0,274900.0,259900.0,18.0,18.0,2021-02-12,2021-04-23,2021-03-01,2021-04-23,No,,0.0,Conventional
DENC518054,2413 E Eric Dr,Closed,259900.0,259900.0,259900.0,259900.0,3.0,3.0,2020-12-11,2020-12-30,2020-12-12,2020-12-30,No,,0.0,Cash
DENC507544,2402 E Eric Dr,Closed,259900.0,259900.0,259900.0,259900.0,6.0,6.0,2020-08-19,2020-10-07,2020-08-24,2020-10-07,No,,0.0,Conventional
DENC523178,2712 Bardell Dr,Closed,260000.0,260000.0,199900.0,199900.0,6.0,6.0,2021-03-24,2021-04-27,2021-03-30,2021-04-26,No,,0.0,Cash
DENC522706,903 Bradley Dr,Closed,260000.0,260000.0,259900.0,259900.0,14.0,14.0,2021-03-19,2021-05-14,2021-04-01,2021-05-07,No,,0.0,Conventional
DENC522466,2203 Milltown Rd,Closed,260000.0,258200.0,269900.0,260000.0,12.0,12.0,2021-03-25,2021-05-10,2021-04-05,2021-05-07,Yes,,1800.0,Conventional
DENC503184,2438 Owen Dr,Closed,260000.0,255000.0,254900.0,254900.0,8.0,8.0,2020-07-06,2020-08-24,2020-07-12,2020-08-21,Yes,,5000.0,Conventional
DENC509278,2814 Bexley Ct,Closed,261000.0,261000.0,250000.0,250000.0,4.0,4.0,2020-09-18,2020-10-19,2020-09-21,2020-10-19,No,,0.0,Cash
DENC508528,2205 Fenton Dr,Closed,261000.0,256000.0,249900.0,249900.0,7.0,7.0,2020-09-09,2020-10-27,2020-09-15,2020-10-23,Yes,,5000.0,Conventional
DENC509890,2107 Elder Dr,Closed,262000.0,262000.0,255000.0,255000.0,5.0,5.0,2020-09-29,2020-12-23,2020-10-05,2020-12-23,No,,0.0,Conventional
DENC519792,2914 Mattahoon Rd,Closed,262500.0,262500.0,260000.0,260000.0,2.0,2.0,2021-01-21,2021-02-05,2021-01-23,2021-02-05,No,,0.0,Cash
DENC507850,2306 Frann Dr,Closed,263000.0,263000.0,259000.0,259000.0,3.0,3.0,2020-09-14,2020-10-30,2020-09-16,2020-10-30,No,,0.0,Conventional
DENC501244,58 Marta Dr,Closed,263000.0,263000.0,259900.0,259900.0,6.0,6.0,2020-06-01,2020-08-05,2020-06-02,2020-07-31,No,,0.0,Conventional
DENC499874,11 Cornell Rd,Closed,264000.0,264000.0,269000.0,269000.0,34.0,34.0,2020-04-20,2020-07-30,2020-06-25,2020-07-30,No,,0.0,Conventional
DENC523992,2509 Lindell Rd,Closed,265000.0,265000.0,284900.0,274900.0,9.0,9.0,2021-04-08,2021-05-07,2021-04-16,2021-05-07,No,,0.0,Cash
DENC521572,2315 Spruce Ave,Closed,265000.0,265000.0,314900.0,279900.0,16.0,16.0,2021-03-04,2021-05-03,2021-03-19,2021-05-03,No,,0.0,Conventional
DENC521126,132 Attic Ct,Closed,265000.0,265000.0,260000.0,260000.0,5.0,5.0,2021-02-18,2021-03-19,2021-02-22,2021-03-19,No,,0.0,Cash
DENC519780,4852 Weatherhill Dr,Closed,265000.0,265000.0,255000.0,265000.0,3.0,3.0,2021-02-16,2021-03-25,2021-02-18,2021-03-25,No,,0.0,Conventional
DENC519702,2621 Sherwood Dr,Closed,265000.0,265000.0,265000.0,265000.0,7.0,7.0,2021-01-20,2021-03-01,2021-01-26,2021-03-01,No,,0.0,FHA
DENC507654,3421 Pebble Beach Dr,Closed,265000.0,265000.0,259900.0,265000.0,3.0,3.0,2020-09-04,2020-10-13,2020-09-05,2020-10-13,No,,0.0,Conventional
DENC507868,1810 School Ln,Closed,265000.0,257050.0,265000.0,265000.0,3.0,3.0,2020-08-27,2020-10-05,2020-08-29,2020-10-05,Yes,3% SA,7950.0,Conventional
DENC506164,132 Steven Ln,Closed,265000.0,260000.0,275000.0,275000.0,4.0,4.0,2020-08-08,2020-09-24,2020-08-11,2020-09-24,Yes,,5000.0,Conventional
DENC504290,623 Cranhill Dr,Closed,265000.0,265000.0,269000.0,269000.0,53.0,53.0,2020-07-03,2020-09-25,2020-08-23,2020-09-25,No,,0.0,FHA
DENC503704,2461 Owen Dr,Closed,265000.0,265000.0,260000.0,260000.0,12.0,12.0,2020-06-27,2020-10-14,2020-08-19,2020-10-13,No,,0.0,Conventional
DENC502098,4639 Griffin Dr,Closed,266000.0,262250.0,259900.0,259900.0,3.0,3.0,2020-06-02,2020-07-25,2020-06-03,2020-07-24,Yes,,3750.0,FHA
DENC510674,3014 Ridgevale Rd,Closed,266350.0,266350.0,315000.0,299000.0,38.0,38.0,2020-10-10,2020-12-11,2020-11-21,2020-12-11,No,,0.0,Cash
DENC512772,4805 Barker Rd,Closed,267500.0,264500.0,274900.0,269900.0,19.0,19.0,2020-11-06,2020-12-30,2020-11-24,2020-12-30,Yes,Repairs,3000.0,Conventional
DENC510948,130 Steven Ln,Closed,267900.0,267900.0,275000.0,269900.0,63.0,83.0,2020-10-09,2021-01-07,2020-12-10,2021-01-07,No,,0.0,FHA
DENC518896,2115 Oak St,Closed,269000.0,269000.0,259900.0,259900.0,4.0,4.0,2021-01-05,2021-02-26,2021-01-08,2021-02-26,No,,0.0,FHA203b
DENC521652,2106 Louisa Ave,Closed,269900.0,269900.0,279900.0,269900.0,38.0,38.0,2021-03-02,2021-05-14,2021-04-08,2021-05-14,No,,0.0,FHA
DENC521392,2413 Alister Dr,Closed,269900.0,267210.0,269900.0,269900.0,1.0,1.0,2021-02-22,2021-04-10,2021-02-22,2021-04-09,Yes,,2690.0,Conventional
DENC512116,4818 Old Capitol Trl,Closed,269900.0,260485.0,269900.0,269900.0,14.0,14.0,2020-10-28,2020-12-17,2020-11-09,2020-12-17,Yes,,9415.0,FHA
DENC511652,2208 Wyncote Dr,Closed,269900.0,261803.0,269900.0,269900.0,14.0,14.0,2020-10-23,2020-12-11,2020-11-05,2020-12-11,Yes,,8097.0,Conventional
DENC511272,24 Whitehall Cir,Closed,269900.0,269900.0,269900.0,269900.0,3.0,3.0,2020-10-16,2020-12-04,2020-10-18,2020-12-04,No,,0.0,Conventional
DENC502628,2218 W Saint Joseph St,Closed,269900.0,269900.0,265000.0,269900.0,5.0,5.0,2020-06-08,2020-07-28,2020-06-11,2020-07-27,No,,0.0,Conventional
DENC500054,5 E Kenmore Dr,Closed,269900.0,269900.0,269900.0,269900.0,17.0,17.0,2020-04-23,2020-07-23,2020-05-09,2020-07-17,No,,0.0,Conventional
DENC524096,1 Albertson Blvd,Closed,270000.0,270000.0,254900.0,270000.0,8.0,8.0,2021-04-08,2021-05-30,2021-04-15,2021-05-26,No,,0.0,VA
DENC523824,4836 Plum Run Ct,Closed,270000.0,270000.0,265000.0,265000.0,6.0,6.0,2021-04-08,2021-05-07,2021-04-13,2021-05-07,No,,0.0,Conventional
DENC523226,3002 Charing Cross,Closed,270000.0,269365.0,254900.0,254900.0,4.0,4.0,2021-03-26,2021-04-30,2021-03-29,2021-04-30,Yes,,635.0,Conventional
DENC518778,5303 Pinehurst Dr,Closed,270000.0,270000.0,279900.0,279900.0,5.0,5.0,2021-01-15,2021-02-24,2021-01-19,2021-02-23,No,,0.0,Conventional
DENC517436,2009 Lynch Dr,Closed,270000.0,270000.0,259900.0,270000.0,6.0,6.0,2020-11-24,2021-01-25,2020-12-15,2021-01-22,No,,0.0,Conventional
DENC505656,1902 E Zabenko Dr,Closed,270000.0,268800.0,265000.0,270000.0,12.0,12.0,2020-07-21,2020-09-04,2020-07-30,2020-09-03,Yes,,1200.0,Conventional
